"TIME","GEO","INDIC_NA","AGGREG95","Value","Flag and Footnotes"
"1997","Sweden","Purchasing power parities (EU28=1)","Gross Domestic Product","10.8989",""
"1997","United Kingdom","Purchasing power parities (EU28=1)","Gross Domestic Product","0.743850",""
"1997","Iceland","Purchasing power parities (EU28=1)","Gross Domestic Product","87.2315",""
"1997","Norway","Purchasing power parities (EU28=1)","Gross Domestic Product","10.6461",""
"1997","Switzerland","Purchasing power parities (EU28=1)","Gross Domestic Product","2.22031",""
"1997","Montenegro","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1997","Former Yugoslav Republic of Macedonia, the","Purchasing power parities (EU28=1)","Gross Domestic Product","21.7022",""
"1997","Albania","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1997","Serbia","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1997","Turkey","Purchasing power parities (EU28=1)","Gross Domestic Product","0.0889400",""
"1997","Bosnia and Herzegovina","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1997","Kosovo (under United Nations Security Council Resolution 1244/99)","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1997","United States","Purchasing power parities (EU28=1)","Gross Domestic Product","1.17001",""
"1997","Japan","Purchasing power parities (EU28=1)","Gross Domestic Product","197.192",""
"1998","European Union (28 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.000000",""
"1998","European Union (27 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00197",""
"1998","European Union (25 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01350",""
"1998","European Union (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06050",""
"1998","Euro area (19 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02738",""
"1998","Euro area (18 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02979",""
"1998","Euro area (17 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03133",""
"1998","Euro area (16 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03220",""
"1998","Euro area (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03706",""
"1998","Euro area (13 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03773",""
"1998","Euro area (12 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03910",""
"1998","Euro area (11 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.04571",""
"1998","Belgium","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08119",""
"1998","Bulgaria","Purchasing power parities (EU28=1)","Gross Domestic Product","0.595430",""
"1998","Czech Republic","Purchasing power parities (EU28=1)","Gross Domestic Product","16.2479",""
"1998","Denmark","Purchasing power parities (EU28=1)","Gross Domestic Product","9.81625",""
"1998","Germany (until 1990 former territory of the FRG)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.15538",""
"1998","Estonia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.501836",""
"1998","Ireland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03137",""
"1998","Greece","Purchasing power parities (EU28=1)","Gross Domestic Product","0.774157",""
"1998","Spain","Purchasing power parities (EU28=1)","Gross Domestic Product","0.840730",""
"1998","France","Purchasing power parities (EU28=1)","Gross Domestic Product","1.13088",""
"1998","Croatia","Purchasing power parities (EU28=1)","Gross Domestic Product","4.11468",""
"1998","Italy","Purchasing power parities (EU28=1)","Gross Domestic Product","0.945234",""
"1998","Cyprus","Purchasing power parities (EU28=1)","Gross Domestic Product","0.846629",""
"1998","Latvia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.388949",""
"1998","Lithuania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.536360",""
"1998","Luxembourg","Purchasing power parities (EU28=1)","Gross Domestic Product","1.10853",""
"1998","Hungary","Purchasing power parities (EU28=1)","Gross Domestic Product","110.151",""
"1998","Malta","Purchasing power parities (EU28=1)","Gross Domestic Product","0.655987",""
"1998","Netherlands","Purchasing power parities (EU28=1)","Gross Domestic Product","1.05938",""
"1998","Austria","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07296",""
"1998","Poland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.93934",""
"1998","Portugal","Purchasing power parities (EU28=1)","Gross Domestic Product","0.810322",""
"1998","Romania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.363711",""
"1998","Slovenia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.566908",""
"1998","Slovakia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.550119",""
"1998","Finland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.17279",""
"1998","Sweden","Purchasing power parities (EU28=1)","Gross Domestic Product","10.9566",""
"1998","United Kingdom","Purchasing power parities (EU28=1)","Gross Domestic Product","0.754357",""
"1998","Iceland","Purchasing power parities (EU28=1)","Gross Domestic Product","90.3108",""
"1998","Norway","Purchasing power parities (EU28=1)","Gross Domestic Product","10.9755",""
"1998","Switzerland","Purchasing power parities (EU28=1)","Gross Domestic Product","2.19684",""
"1998","Montenegro","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1998","Former Yugoslav Republic of Macedonia, the","Purchasing power parities (EU28=1)","Gross Domestic Product","21.6028",""
"1998","Albania","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1998","Serbia","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1998","Turkey","Purchasing power parities (EU28=1)","Gross Domestic Product","0.153384",""
"1998","Bosnia and Herzegovina","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1998","Kosovo (under United Nations Security Council Resolution 1244/99)","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1998","United States","Purchasing power parities (EU28=1)","Gross Domestic Product","1.16819",""
"1998","Japan","Purchasing power parities (EU28=1)","Gross Domestic Product","194.665",""
"1999","European Union (28 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.000000",""
"1999","European Union (27 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00201",""
"1999","European Union (25 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01349",""
"1999","European Union (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06143",""
"1999","Euro area (19 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02265",""
"1999","Euro area (18 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02491",""
"1999","Euro area (17 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02632",""
"1999","Euro area (16 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02715",""
"1999","Euro area (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03199",""
"1999","Euro area (13 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03264",""
"1999","Euro area (12 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03403",""
"1999","Euro area (11 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03977",""
"1999","Belgium","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06624",""
"1999","Bulgaria","Purchasing power parities (EU28=1)","Gross Domestic Product","0.604906",""
"1999","Czech Republic","Purchasing power parities (EU28=1)","Gross Domestic Product","16.3633",""
"1999","Denmark","Purchasing power parities (EU28=1)","Gross Domestic Product","9.80246",""
"1999","Germany (until 1990 former territory of the FRG)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.12830",""
"1999","Estonia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.513757",""
"1999","Ireland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.07617",""
"1999","Greece","Purchasing power parities (EU28=1)","Gross Domestic Product","0.787729",""
"1999","Spain","Purchasing power parities (EU28=1)","Gross Domestic Product","0.847974",""
"1999","France","Purchasing power parities (EU28=1)","Gross Domestic Product","1.11091",""
"1999","Croatia","Purchasing power parities (EU28=1)","Gross Domestic Product","4.18412",""
"1999","Italy","Purchasing power parities (EU28=1)","Gross Domestic Product","0.947191",""
"1999","Cyprus","Purchasing power parities (EU28=1)","Gross Domestic Product","0.849322",""
"1999","Latvia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.396283",""
"1999","Lithuania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.520724",""
"1999","Luxembourg","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08949",""
"1999","Hungary","Purchasing power parities (EU28=1)","Gross Domestic Product","116.977",""
"1999","Malta","Purchasing power parities (EU28=1)","Gross Domestic Product","0.650537",""
"1999","Netherlands","Purchasing power parities (EU28=1)","Gross Domestic Product","1.04974",""
"1999","Austria","Purchasing power parities (EU28=1)","Gross Domestic Product","1.06140",""
"1999","Poland","Purchasing power parities (EU28=1)","Gross Domestic Product","2.01390",""
"1999","Portugal","Purchasing power parities (EU28=1)","Gross Domestic Product","0.806334",""
"1999","Romania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.526279",""
"1999","Slovenia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.590927",""
"1999","Slovakia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.579357",""
"1999","Finland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.16064",""
"1999","Sweden","Purchasing power parities (EU28=1)","Gross Domestic Product","10.7559",""
"1999","United Kingdom","Purchasing power parities (EU28=1)","Gross Domestic Product","0.755341",""
"1999","Iceland","Purchasing power parities (EU28=1)","Gross Domestic Product","92.2234",""
"1999","Norway","Purchasing power parities (EU28=1)","Gross Domestic Product","10.7967",""
"1999","Switzerland","Purchasing power parities (EU28=1)","Gross Domestic Product","2.16681",""
"1999","Montenegro","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1999","Former Yugoslav Republic of Macedonia, the","Purchasing power parities (EU28=1)","Gross Domestic Product","21.7558",""
"1999","Albania","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1999","Serbia","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1999","Turkey","Purchasing power parities (EU28=1)","Gross Domestic Product","0.233813",""
"1999","Bosnia and Herzegovina","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1999","Kosovo (under United Nations Security Council Resolution 1244/99)","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"1999","United States","Purchasing power parities (EU28=1)","Gross Domestic Product","1.15735",""
"1999","Japan","Purchasing power parities (EU28=1)","Gross Domestic Product","187.533",""
"2000","European Union (28 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00000",""
"2000","European Union (27 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00199",""
"2000","European Union (25 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01287",""
"2000","European Union (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.05717",""
"2000","Euro area (19 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00615",""
"2000","Euro area (18 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00818",""
"2000","Euro area (17 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00938",""
"2000","Euro area (16 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01020",""
"2000","Euro area (15 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01463",""
"2000","Euro area (13 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01522",""
"2000","Euro area (12 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01661",""
"2000","Euro area (11 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02278",""
"2000","Belgium","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02525",""
"2000","Bulgaria","Purchasing power parities (EU28=1)","Gross Domestic Product","0.619899",""
"2000","Czech Republic","Purchasing power parities (EU28=1)","Gross Domestic Product","16.3545",""
"2000","Denmark","Purchasing power parities (EU28=1)","Gross Domestic Product","9.67650",""
"2000","Germany (until 1990 former territory of the FRG)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.11267",""
"2000","Estonia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.523757",""
"2000","Ireland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.10685",""
"2000","Greece","Purchasing power parities (EU28=1)","Gross Domestic Product","0.780115",""
"2000","Spain","Purchasing power parities (EU28=1)","Gross Domestic Product","0.844730",""
"2000","France","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08060",""
"2000","Croatia","Purchasing power parities (EU28=1)","Gross Domestic Product","4.24004",""
"2000","Italy","Purchasing power parities (EU28=1)","Gross Domestic Product","0.940283",""
"2000","Cyprus","Purchasing power parities (EU28=1)","Gross Domestic Product","0.842966",""
"2000","Latvia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.407764",""
"2000","Lithuania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.505629",""
"2000","Luxembourg","Purchasing power parities (EU28=1)","Gross Domestic Product","1.08148",""
"2000","Hungary","Purchasing power parities (EU28=1)","Gross Domestic Product","124.145",""
"2000","Malta","Purchasing power parities (EU28=1)","Gross Domestic Product","0.640029",""
"2000","Netherlands","Purchasing power parities (EU28=1)","Gross Domestic Product","1.02710",""
"2000","Austria","Purchasing power parities (EU28=1)","Gross Domestic Product","1.03593",""
"2000","Poland","Purchasing power parities (EU28=1)","Gross Domestic Product","2.11858",""
"2000","Portugal","Purchasing power parities (EU28=1)","Gross Domestic Product","0.805135",""
"2000","Romania","Purchasing power parities (EU28=1)","Gross Domestic Product","0.727893",""
"2000","Slovenia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.611848",""
"2000","Slovakia","Purchasing power parities (EU28=1)","Gross Domestic Product","0.604896",""
"2000","Finland","Purchasing power parities (EU28=1)","Gross Domestic Product","1.14483",""
"2000","Sweden","Purchasing power parities (EU28=1)","Gross Domestic Product","10.5118",""
"2000","United Kingdom","Purchasing power parities (EU28=1)","Gross Domestic Product","0.731839",""
"2000","Iceland","Purchasing power parities (EU28=1)","Gross Domestic Product","97.0179",""
"2000","Norway","Purchasing power parities (EU28=1)","Gross Domestic Product","10.5044",""
"2000","Switzerland","Purchasing power parities (EU28=1)","Gross Domestic Product","2.13043",""
"2000","Montenegro","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Purchasing power parities (EU28=1)","Gross Domestic Product","22.7835",""
"2000","Albania","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"2000","Serbia","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"2000","Turkey","Purchasing power parities (EU28=1)","Gross Domestic Product","0.325417",""
"2000","Bosnia and Herzegovina","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"2000","Kosovo (under United Nations Security Council Resolution 1244/99)","Purchasing power parities (EU28=1)","Gross Domestic Product",":",""
"2000","United States","Purchasing power parities (EU28=1)","Gross Domestic Product","1.15097",""
"2000","Japan","Purchasing power parities (EU28=1)","Gross Domestic Product","178.365",""
"2001","European Union (28 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.000000",""
"2001","European Union (27 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.00191",""
"2001","European Union (25 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.01319",""
