"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value","Flag and Footnotes"
"1979Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1979Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1979Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1980Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1980Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1980Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1980Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1980Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1980Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1980Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1980Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1981Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1981Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1981Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1981Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1981Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1981Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1981Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1981Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1982Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1982Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1982Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1982Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1982Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1982Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1982Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1982Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1983Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1983Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1983Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1983Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1983Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1983Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1983Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1983Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1984Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1984Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1984Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1984Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1984Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1984Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1984Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1984Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1985Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1985Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1985Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1985Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1985Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1985Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1985Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1985Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1986Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1986Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1986Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1986Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1986Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1986Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1986Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1986Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1987Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1987Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1987Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1987Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1987Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1987Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1987Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1987Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1988Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1988Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1988Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1988Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1988Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1988Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1988Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1988Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1989Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1989Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1989Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1989Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1989Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1989Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1989Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1989Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1990Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1990Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1990Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1990Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1990Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1990Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1990Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1990Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1991Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1991Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1991Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1991Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1991Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1991Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1991Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1991Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1992Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1992Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1992Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1992Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1992Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1992Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1992Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1992Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1993Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1993Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1993Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1993Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1993Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1993Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1993Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1993Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1994Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1994Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1994Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1994Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1994Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1994Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1994Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices",":",""
"1994Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1995Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","76.163",""
"1995Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1995Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","77.063",""
"1995Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1995Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","77.958",""
"1995Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1995Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","79.326",""
"1995Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1996Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","78.797",""
"1996Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1996Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","79.509",""
"1996Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1996Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","79.677",""
"1996Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1996Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","80.603",""
"1996Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1997Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","79.046",""
"1997Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1997Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","79.245",""
"1997Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1997Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","79.056",""
"1997Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1997Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","80.561",""
"1997Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1998Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","79.241",""
"1998Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1998Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","79.913",""
"1998Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1998Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","80.086",""
"1998Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1998Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","82.014",""
"1998Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1999Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","80.943",""
"1999Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1999Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","81.362",""
"1999Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1999Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","81.423",""
"1999Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"1999Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","82.768",""
"1999Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2000Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","81.910",""
"2000Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2000Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","82.427",""
"2000Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2000Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","82.684",""
"2000Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2000Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","84.121",""
"2000Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2001Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","83.570",""
"2001Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2001Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","84.462",""
"2001Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2001Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","84.720",""
"2001Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2001Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","86.434",""
"2001Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2002Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","85.865",""
"2002Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2002Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","86.439",""
"2002Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2002Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","86.828",""
"2002Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2002Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","88.416",""
"2002Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2003Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","87.668",""
"2003Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2003Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","88.398",""
"2003Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2003Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","88.884",""
"2003Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2003Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","90.233",""
"2003Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2004Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","89.300",""
"2004Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2004Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","90.274",""
"2004Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2004Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","90.338",""
"2004Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
"2004Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","Gross domestic product at market prices","92.117",""
"2004Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, national currency","NSA","External balance of goods and services",":",""
