"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v163","v164","v165","v166","v167","v168","v169"
"1937","30.358559472636703",,"20.513981062623554",,"8.3312104686662511",,"5.4847671748901368",,"1.9133020688727074",,,,"9.844578410013149",,"12.182770593957303",,"2.8464432937761144",,"3.5714651060174294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1310.1369456873399","893",,,"318",,"2.039340016708438E-2","17461.679788493504",,,"11902.022992675751","53011.144435111826",,"71641.713700550434",,"145476.92945439497",,"191546.49624474344",,"334094.68065317359",,,"13511.73927220258",,"34380.575169673226",,"53182.909762089308",,"99407.362664046508",,"155909.45014263588",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7695043829858719","1.5651299932428504",,,,,,
"1938","27.637621386323641",,"18.468193463219102",,"7.3213301201533536",,"4.7864067479537367",,"1.6635954575321001",,,,"9.1694279231045392",,"11.146863343065748",,"2.5349233721996169",,"3.1228112904216365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1307.202708406965","891",,,"350",,"2.0781871345029242E-2","18901.909888768656",,,"12883.695545136261","52240.382898419492",,"69816.825730022756",,"138387.12219706649",,"180944.45808163151",,"314451.31429636618",,,"15197.635109918561",,"34663.940066816227",,"52674.251613261818",,"95829.786312501456",,"147567.74402794783",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.805381672587159","1.5538994968122026",,,,,,
"1939","29.719275176456797",,"19.922487798857766",,"7.8461724673040818",,"5.1457802953277882",,"1.8623632051840284",,,,"9.7967873775990313",,"12.076315331553683",,"2.7003921719762936",,"3.28341709014376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1307.202708406965","891",,,"372",,"2.1860902255639098E-2","19098.407404512305",,,"13017.629850352745","56759.082508678126",,"76097.557698802237",,"149849.39834664087",,"196552.41698856349",,"355681.71227777912",,,"14913.887948493883",,"37420.607318554001",,"57659.597536842593",,"103146.37970471822",,"156770.09316625958",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.6637788993667639","1.6010414006215616",,,,,,
"1940","28.665185132457022",,"19.160550804278955",,"7.417102430798673",,"4.8315406804521119",,"1.6712481536211703",,,,"9.5046343281780672",,"11.743448373480282",,"2.5855617503465611",,"3.1602925268309416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1296.9328779256534","884",,,"405",,"2.2637761069340016E-2","20238.07897683794",,,"13794.439265152401","58012.828059634594",,"77554.548083342641",,"150107.9047738002",,"195562.20374159032",,"338228.52122879826",,,"16040.884634304977",,"38471.108035926547",,"59416.208910728252",,"104653.60580601009",,"159895.62436978833",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8344135831060617","1.5451333380920469",,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1274.9260983228426","869",,,,,"2.365204678362573E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1264.6562678415307","862",,,,,"2.4256307435254806E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1245.5837255190945","849",,,,,"2.419548872180451E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1244.1166068789071","848",,,,,"2.419548872180451E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945","25.261136348337974",,"17.079662573756696",,"6.8805971021145869",,"4.4946287862210887",,"1.5986100496145697",,,,"8.1814737745812778",,"10.199065471642109",,"2.3859683158934981",,"2.8960187366065191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1255.8535560004063","856",,,"618",,"2.419548872180451E-2","29838.728414351521",,,"20338.320021985619","75376.018693596023",,"101927.08258941803",,"205308.26825857125",,"268228.01535075495",,"477004.91110902157",,,"24779.029494435465",,"48824.954797774029",,"76081.786172129723",,"142388.52116638754",,"216033.79141118831",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.731371692080268","1.5775767298115435",,,,,,
"1946","27.102381597842395",,"18.543586605245864",,"7.5027559946588704",,"4.8999754130686624",,"1.7614240719345244",,,,"8.5587949925965319",,"11.040830610586994",,"2.6027805815902081",,"3.1385513411341379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1293.9986406452786","882",,,"663",,"2.4393817878028405E-2","30815.212445656904",,,"21003.89948131323","83516.564672077555",,"114284.91214901779",,"231199.01990333895",,"301987.56666441256",,"542786.56983556412",,,"24959.506642721273",,"52748.217195137317",,"85056.385210437511",,"160410.4731422654",,"241787.81587162463",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.698013229907267","1.5889235621883893",,,,,,
"1947","28.436215073150787",,"19.541351038029131",,"7.7173180960351662",,"5.0316766890403013",,"1.7662359057781338",,,,"8.8948640351216568",,"11.824032941993964",,"2.6856414069948649",,"3.2654407832621675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1311.6040643275273","894",,,"750",,"2.637702589807853E-2","31805.184471451612",,,"21678.672467408109","90441.906607143363",,"124303.2549171818",,"245450.72566927018",,"320066.81059125933",,"561754.58803374972",,,"25289.993123041415",,"56580.558297104944",,"94016.387229159693",,"170834.64074728108",,"259644.86623063669",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7810044558740814","1.5614809085411412",,,,,,
"1948","28.795788745669231",,"19.666807508177907",,"7.7367353509093526",,"5.087652660030324",,"1.8667316353516572",,,,"9.128981237491324",,"11.930072157268555",,"2.6490826908790286",,"3.2209210246786668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1327.7423693695885","905",,,"789",,"2.8558563074352551E-2","30527.558482199813",,,"20807.832199787619","87906.512497448857",,"120075.92327281348",,"236183.64088618796",,"310627.22823239031",,"569867.59168770211",,,"24152.119147172139",,"55737.10172208424",,"91048.99386946985",,"161740.05353998559",,"245817.13736856234",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.614214056555237","1.6194965258412002",,,,,,
"1949","29.557399151696192",,"20.320128238823131",,"8.0175759458039479",,"5.2611437037278552",,"1.9159553821115372",,,,"9.2372709128730612",,"12.302552293019183",,"2.7564322420760927",,"3.3451883216163179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1345.347793051837","917",,,"888",,"2.8955221386800331E-2","33443.886454120358",,,"22795.625069454967","98851.430110844085",,"135916.81231047309",,"268138.8995687539",,"351906.18529256928",,"640769.94250499038",,,"26176.381603373276",,"61786.047911215072",,"102861.2904959029",,"184371.61384493849",,"279690.24598946393",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.6431091020303272","1.6086023129957336",,,,,,
"1950","31.323184282848569",,"22.589530951696243",,"9.4369386715936443",,"6.1660614100478437",,"2.2320259787881911",,,,"8.7336533311523254",,"13.152592280102599",,"3.2708772615458006",,"3.9340354312596526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1360.0189794537112","927",,,"1104",,"3.1533416875522136E-2","37767.506008881923",,,"25742.639330148508","118299.85506197992",,"170630.04919120242",,"356409.63798486313",,"465753.52271023375",,"842980.54565863567",,,"28819.467225204364",,"65969.660932757412",,"124185.15199278721",,"247065.75325949251",,"371446.76697313326",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.674740013386208","1.5971076059609213",,,,,,
"1951","29.321300727183647",,"20.112350390538964",,"7.8827567494987507",,"5.1134234022012466",,"1.8542466238997248",,,,"9.2089503366446834",,"12.229593641040214",,"2.7693333472975041",,"3.259176778301522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1377.6244031359597","939",,,"1138",,"3.5153634085213027E-2","34475.172029067537",,,"23498.557706733336","101085.68866856792",,"138675.34792454288",,"271759.39500226267",,"352572.30289669556",,"639254.71343260712",,,"27074.003513567488",,"63496.029412592965",,"105404.33615511295",,"190946.48710782974",,"280901.70026271773",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.691867051114373","1.5910629912328722",,,,,,
"1952","30.139568538205101",,"20.589896849056444",,"7.9430489124286403",,"5.1063745113944181",,"1.8318307651682062",,,,"9.5496716891486564",,"12.646847936627804",,"2.8366744010342222",,"3.2745437462262119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1405.4996572995201","958",,,"1208",,"3.6559816207184626E-2","34490.335697623872",,,"23508.893386576099","103952.38366642366",,"142030.49086068093",,"273958.42345231003",,"352241.14219156705",,"631804.5803188663",,,"26772.330367757226",,"65874.276472166384",,"109048.5077127737",,"195675.7047130529",,"282350.28265974228",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7555943877888258","1.5696076536559802",,,,,,
"1953",,"35.930434775326937",,"24.827670562923554",,"9.8967124725114672",,"6.4109687304751981",,"2.325849338903569",,,,"11.102764212403383",,"14.930958090412087",,"3.4857437420362691",,"4.0851193915716291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1432",,"1432",,"1333",,"3.8809607351712613E-2",,"23985.450647612171",,"23985.450647612171",,"86180.767005085232",,"119100.57339643528",,"237377.10858303163",,"307539.94817639544",,"557865.44532052951",,,"17074.859941226274",,"53260.960613735195",,"89531.439599786201",,"167214.26898966782",,"244958.57389036191",,,,,,,,,,,,,,,,,,,,,,,,,,"2.6947595266262772","1.5900542137625149",,,,,,
"1954",,"35.396578105985895",,"24.291035993029524",,"9.5428873461404891",,"6.1524769824638099",,"2.2015996545479588",,,,"11.105542112956371",,"14.748148646889035",,"3.3904103636766791",,"3.9508773279158511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1459",,"1459",,"1444",,"3.9653299916457815E-2",,"24959.309507449194",,"24959.309507449194",,"88347.414845190171",,"121257.49712132248",,"238183.87886704091",,"307123.15448554262",,"549504.07189355721",,,"17916.186692144642",,"55437.332569057879",,"92025.901684892859",,"169244.60324853924",,"246527.92513353893",,,,,,,,,,,,,,,,,,,,,,,,,,"2.75437665945568","1.5700030233588858",,,,,,
"1955",,"34.125135530904281",,"22.889086120993511",,"8.7559603164729403",,"5.6053104761208816",,"1.980894806418104",,,,"11.23604940991077",,"14.133125804520571",,"3.1506498403520586",,"3.6244156697027776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1487",,"1487",,"1520",,"4.0496992481203004E-2",,"25241.191281845357",,"25241.191281845357",,"86135.90734544523",,"115549.56020932579",,"221010.86920434068",,"282969.42784379766",,"500001.44718013395",,,"18475.111719223143",,"56722.254481564669",,"89184.232960572073",,"159052.31056488369",,"228711.42300971362",,,,,,,,,,,,,,,,,,,,,,,,,,"2.820415974538895","1.549324997136051",,,,,,
"1956",,"35.03978378217618",,"23.525523908869722",,"8.9098491412797003",,"5.7378532242886227",,"2.0976366024885267",,,,"11.514259873306457",,"14.615674767590022",,"3.1719959169910776",,"3.640216621800096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1514",,"1514",,"1622",,"4.1996908939014199E-2",,"25509.834915669144",,"25509.834915669144",,"89385.909976405528",,"120026.44624397882",,"227288.7807175616",,"292743.37704388535",,"535103.63442547421",,,"18412.493242253986",,"58745.373708832245",,"93210.862625583104",,"161834.18439123791",,"232153.31269848815",,,,,,,,,,,,,,,,,,,,,,,,,,"2.6891848115227579","1.5920015342184641",,,,,,
"1957",,"33.941636514979869",,"22.689240270644508",,"8.653482997422282",,"5.6057747585771862",,"1.9969320591115349",,,,"11.252396244335362",,"14.035757273222226",,"3.0477082388450958",,"3.6088426994656513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1541",,"1541",,"1735",,"4.2746867167919797E-2",,"26338.591628690709",,"26338.591628690709",,"89397.490337751165",,"119520.52677074989",,"227920.55483492391",,"295296.42425717349",,"525963.78015179175",,,"19332.047327683988",,"59274.453904752416",,"92420.519754706416",,"160544.6854126743",,"237629.58528351894",,,,,,,,,,,,,,,,,,,,,,,,,,"2.7535136277037719","1.5702835633558783",,,,,,
"1958",,"31.928281684442194",,"20.656612074878829",,"7.2568062385839802",,"4.5084285803682667",,"1.4756054597985848",,,,"11.271669609563364",,"13.399805836294849",,"2.7483776582157136",,"3.0328231205696818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1568",,"1568",,"1754",,"4.5746616541353383E-2",,"24452.572311405704",,"24452.572311405704",,"78072.861666775309",,"101021.46009392616",,"177447.57929883481",,"220485.35174452642",,"360823.49208829959",,,"18494.762383031302",,"55124.263239624452",,"81914.930292698991",,"134409.80685314321",,"185400.81665858309",,,,,,,,,,,,,,,,,,,,,,,,,,"3.2443860439791097","1.4455561478305592",,,,,,
"1959",,"32.646624956144422",,"21.372458185977052",,"7.6024307620366995",,"4.7677073381896617",,"1.6253070476018372",,,,"11.274166770167369",,"13.770027423940352",,"2.8347234238470378",,"3.1424002905878243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1589",,"1589",,"1891",,"4.6121553884711779E-2",,"25802.613727425225",,"25802.613727425225",,"84236.825324751495",,"110293.05659566264",,"196162.58434232796",,"246038.62162543708",,"419371.69937732123",,,"19309.923549944524",,"58180.594053840367",,"88825.674658996286",,"146286.54705921884",,"202705.35218746602",,,,,,,,,,,,,,,,,,,,,,,,,,"3.0304596502381185","1.4924993214628652",,,,,,
"1960",,"32.167677229225653",,"20.931785677805827",,"7.4372354092035877",,"4.7082123789695984",,"1.6617487914738591",,,,"11.235891551419826",,"13.494550268602239",,"2.7290230302339893",,"3.0464635874957393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1611",,"1611",,"2046",,"4.6871512113617377E-2",,"27095.74674901423",,"27095.74674901423",,"87160.723570712988",,"113432.47274609396",,"201517.44716058162",,"255145.06052226806",,"450263.24414256145",,,"20421.860435492141",,"60888.974395332043",,"91411.229142472061",,"147889.83379889515",,"206365.51461719474",,,,,,,,,,,,,,,,,,,,,,,,,,"2.8640669987913219","1.5364614043639038",,,,,,
"1961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1649",,"1649",,"2110",,"4.799640768588137E-2",,"26659.565443203894",,"26659.565443203894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1962",,"31.969955999587114",,"20.585112208650056",,"7.2517887351132826",,"4.5953845000307183",,"1.610182943604594",,,,"11.384843790937058",,"13.333323473536772",,"2.6564042350825643",,"2.9852015564261243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1690",,"1690",,"2225",,"4.8764411027568927E-2",,"26998.542986461114",,"26998.542986461114",,"86314.223133012303",,"111153.60736927281",,"195787.72989369044",,"248137.3719267929",,"434725.93418975122",,,"20407.911859066535",,"61474.838896751804",,"89995.076738168398",,"143438.08786058793",,"201490.23136105333",,,,,,,,,,,,,,,,,,,,,,,,,,"2.8865853803735866","1.5300581730374574",,,,,,
"1963",,"31.981053560935809",,"20.671474785543502",,"7.2877541422133882",,"4.6314582462594283",,,,,,"11.309578775392307",,"13.383720643330115",,"2.65629589595396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1728",,"1728",,"2406",,"4.9916290726817046E-2",,"27893.921820658812",,"27893.921820658812",,"89207.700777104546",,"115321.70031713405",,"203284.04429108268",,"258379.06847361213",,,,,"21081.279714387063",,"63093.701237075038",,"93331.114323646922",,"148189.02010855323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1964",,"32.323230045270648",,"20.848433073557789",,"7.4244807707580511",,"4.8164681412776877",,"1.8016401830716853",,,,"11.474796971712859",,"13.423952302799737",,"2.6080126294803634",,"3.0148279582060025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1765",,"1765",,"2599",,"5.222013366750209E-2",,"28198.34311100798",,"28198.34311100798",,"91146.153127258367",,"117578.25382701385",,"209358.05619491651",,"271632.84246197419",,"508032.68044834613",,,"21204.141998091269",,"64714.052427502909",,"94633.303235038169",,"147083.26992785881",,"212532.88296538123",,,,,,,,,,,,,,,,,,,,,,,,,,"2.5973892877128915","1.6260214762249841",,,,,,
"1965",,"31.055249688952582",,"19.689381499296235",,"6.7232732075124471",,"4.2330022091216772",,"1.428646612162523",,,,"11.365868189656346",,"12.966108291783788",,"2.4902709983907698",,"2.8043555969591543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1804",,"1804",,"2799",,"5.3372013366750209E-2",,"29070.518583747937",,"29070.518583747937",,"90279.221320562821",,"114476.10615555881",,"195449.03872260518",,"246111.13877063559",,"415314.97888479155",,,"22269.551612990726",,"66082.336485566862",,"94232.873013797202",,"144786.93867457481",,"203810.17874209658",,,,,,,,,,,,,,,,,,,,,,,,,,"3.0548897455809927","1.4866441141917632",,,,,,
"1966",,"30.722545631615983",,"19.299159298221042",,"6.5616048829258595",,"4.1199915410518022",,"1.380850251756941",,,,"11.423386333394941",,"12.737554415295183",,"2.4416133418740573",,"2.739141289294861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1827",,"1827",,"2926",,"5.490793650793651E-2",,"29167.59705253756",,"29167.59705253756",,"89610.283141117296",,"112582.02037264899",,"191386.24724314435",,"240340.50625852446",,"402760.83733141504",,,"22451.743042695362",,"66638.54590958562",,"92880.963655025131",,"142431.98822776426",,"199735.42349030179",,,,,,,,,,,,,,,,,,,,,,,,,,"3.0946673440823416","1.4774027736791269",,,,,,
"1967",,"30.912500168259928",,"19.385342200288818",,"6.5891029415764999",,"4.1415547827804842",,"1.4058044091936635",,,,"11.52715796797111",,"12.796239258712319",,"2.4475481587960157",,"2.7357503735868205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1853",,"1853",,"3017",,"5.8363659147869673E-2",,"27896.992033066916",,"27896.992033066916",,"86236.577091612678",,"108158.5473839466",,"183816.1522662174",,"231073.84155947471",,"392177.14403325971",,,"21414.815915450719",,"64314.606799278779",,"89244.146163378915",,"136558.46297296009",,"190798.01594102843",,,,,,,,,,,,,,,,,,,,,,,,,,"3.0386029417511762","1.4905320106822724",,,,,,
"1968",,"31.150701158299821",,"19.586489417681939",,"6.7154120335195397",,"4.232004232149932",,"1.43920683438827",,,,"11.564211740617882",,"12.871077384162399",,"2.4834078013696077",,"2.792797397761662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1878",,"1878",,"3138",,"6.1435421888053468E-2",,"27198.09624839262",,"27198.09624839262",,"84723.976830835396",,"106543.04487004738",,"182646.42283527844",,"230204.91685923754",,"391436.86003036622",,,"20806.331739232308",,"62904.90879162342",,"87517.20037873961",,"135087.92881131938",,"189896.93106645532",,,,,,,,,,,,,,,,,,,,,,,,,,"3.0206867370918871","1.4948812607337496",,,,,,
"1969",,"31.01867723189903",,"19.470171367326014",,"6.6978267653391281",,"4.2282548177315933",,"1.4480644132639946",,,,"11.548505864573016",,"12.772344601986886",,"2.4695719476075348",,"2.7801904044675987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1908",,"1908",,"3445",,"6.3990559732665001E-2",,"28215.96752862721",,"28215.96752862721",,"87522.198955623113",,"109873.94461545559",,"188985.66252317905",,"238608.60127975239",,"408585.3846401748",,,"21626.386258960996",,"65170.453295790619",,"90096.015138524745",,"139362.72376660572",,"196114.4054396468",,,,,,,,,,,,,,,,,,,,,,,,,,"2.9863764187069588","1.5034292546882704",,,,,,
"1970",,"30.760317080891411",,"19.110451424928289",,"6.6391844863122511",,"4.2144588207902354",,"1.4808307294733469",,,,"11.649865655963122",,"12.471266938616038",,"2.4247256655220157",,"2.7336280913168887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1947",,"1947",,"4011",,"6.9692731829573931E-2",,"29559.645544684528",,"29559.645544684528",,"90926.406975325517",,"112979.63406395832",,"196251.94012115858",,"249155.81781045697",,"437728.31474908756",,,"22741.11649683553",,"68873.179886692713",,"92161.557549658246",,"143348.06243186016",,"202012.69357579935",,,,,,,,,,,,,,,,,,,,,,,,,,"2.8703408373944033","1.5346619076088364",,,,,,
"1971",,"30.664454412305034",,"19.011087054155535",,"6.4325627228881359",,"4.0001192835908101",,"1.3078008553332809",,,,"11.653367358149499",,"12.578524331267399",,"2.4324434392973258",,"2.6923184282575292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1984",,"1984",,"4696",,"7.6661988304093556E-2",,"30874.955584012416",,"30874.955584012416",,"94676.366798789139",,"117393.2936801691",,"198605.08836054517",,"247007.01042323565",,"403782.93321148492",,,"23785.909893481665",,"71959.439917409167",,"97090.345010075107",,"150203.16629785468",,"207813.02972617335",,,,,,,,,,,,,,,,,,,,,,,,,,"3.2450929031139197","1.4454158661376599",,,,,,
"1972",,"31.290301967693637",,"19.903946331476369",,"7.0779635757873285",,"4.4657409812266051",,"1.5178079947364806",,,,"11.386355636217267",,"12.82598275568904",,"2.6122225945607234",,"2.9479329864901245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2036",,"2036",,"5482",,"8.0463408521303265E-2",,"33462.84268366063",,"33462.84268366063",,"104706.24522691687",,"133208.52497484357",,"236848.78165725144",,"298872.7758415243",,"507901.70151869254",,,"25546.909067743265",,"76203.965478990183",,"107298.46080424161",,"174824.78747297858",,"246615.54442223223",,,,,,,,,,,,,,,,,,,,,,,,,,"3.0183347596242864","1.4954579488023831",,,,,,
"1973",,"31.844889588590203",,"20.354091270029027",,"7.4669443849072481",,"4.7879754385311255",,"1.6881132609068414",,,,"11.490798318561176",,"12.88714688512178",,"2.6789689463761226",,"3.0998621776242841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2094",,"2094",,"6391",,"8.869983291562239E-2",,"34408.785065629585",,"34408.785065629585",,"109574.39612925057",,"140071.91034332724",,"256928.48443728322",,"329496.83552786213",,"580859.26360982587",,,"26057.05050300503",,"79076.881915173857",,"110857.76681983827",,"184360.1333467043",,"266656.22850737115",,,,,,,,,,,,,,,,,,,,,,,,,,"2.8227961635863066","1.5486076940344908",,,,,,
