"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142"
"1929",,,"13.065678010117971","10.251665648125176","5.7736306357633627",,"1.8997509658130363",,,"2.8140123619927948","4.4780350123618131",,,"3.8738796699503264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133240","318.51600000000002","22923.599999999999",,"1.6974590485268056E-2","10135.586678957536",,,,,"132428.31199090011","207813.29156052819","585191.33761064266","1925509.0582431322",,,,"57043.332421271996","113468.78004799958","436267.14642925491",,,"46339.799580521336","72718.787518374898","225596.50229910496","1016872.8175847838",,,,,,,,,,,,,,,,,,,"1.5496258885688059","2.8194193919866879"
"1930",,,"14.525563036816548","11.402685753813591","6.3930193732549245",,"2.1082414555942846",,,"3.122877283002957","5.0096663805586665",,,"4.28477791766064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134560","415.58499999999998","18166.400000000001",,"1.3971393707105248E-2","9663.026333196256",,,,,"140360.89812926049","220368.90541652506","617759.14552396163","2037199.2702143574",,,,"60352.890841995897","121021.34538966592","460043.57611391763",,,"49016.890919270489","76957.320327583715","240382.52356002346","1093858.3036384273",,,,,,,,,,,,,,,,,,,"1.553825175909193","2.8056239468679611"
"1931",,,"16.09343272165631","12.54519519860345","6.9370780735030682",,"2.2596928235243592",,,"3.54823752305286","5.6081171251003816",,,"4.677385249978709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136400","564.43399999999997","15948.1",,"1.2143360885614841E-2","9628.4344469006101",,,,,"154954.56198607304","241581.17918665119","667932.01483755861","2175730.4221436037",,,,"68327.94478549491","134993.47027392432","500398.85847022024",,,"55680.933215111203","86809.096369351959","266162.06974436954","1177900.4093719698",,,,,,,,,,,,,,,,,,,"1.5759748471587707","2.7361869271425743"
"1932",,,"16.143201338735757","12.642842819824374","7.027513277207011",,"2.3247668068702358",,,"3.5003585189113835","5.6153295426173626",,,"4.7027464703367752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138320","665.92899999999997","15409.8",,"1.1403442838821104E-2","9769.5831132530529",,,,,"157712.34719275692","247030.60743213762","686558.75041163235","2271200.2538650678",,,,"68394.086953376245","137148.57168726393","510487.47225013957",,,"55610.289515950535","87104.426781577931","272212.44316403929","1225000.2511588754",,,,,,,,,,,,,,,,,,,"1.565405756404044","2.7686413494619448"
"1933",,,"17.112524865224486","13.365366242484471","7.3918025758872883",,"2.4519088015537438",,,"3.7471586227400149","5.9735636665971832",,,"4.9398937743335445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140280","671.24799999999993","14592.2",,"1.0663524792027368E-2","9754.9317056586042",,,,,"166931.51137164957","260756.46983310199","721065.29309491848","2391820.2907660003",,,,"73106.552910197206","145679.26401764783","535425.84890924266",,,"59519.975648034844","92973.571059212249","287832.38062605675","1285637.0595649721",,,,,,,,,,,,,,,,,,,"1.5737219485685618","2.7430046078854109"
"1934",,,"16.896168592075501","13.169779644080622","7.2831465412595024",,"2.4139019052056869",,,"3.7263889479948791","5.8866331028211194",,,"4.869244636053816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142240","700.80399999999997","15366.4",,"1.092467233795457E-2","9888.7630421343056",,,,,"167082.20752698663","260465.66043487427","720213.10347655264","2387050.3947535586",,,,"73698.754619098996","145528.7996744547","535008.96000132977",,,"60060.193791906815","93628.270019887277","285218.66309824836","1294945.1603197113",,,,,,,,,,,,,,,,,,,"1.575967593625438","2.7362087920701974"
"1935",,,"17.326380796022516","13.418089216483839","7.335291064752071",,"2.4168874395281672",,,"3.9082915795386768","6.082798151731768",,,"4.9184036252239043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144240","373.37599999999998","15276.1",,"1.1142295292893904E-2","9504.9998647855464",,,,,"164687.24712341689","255077.87237671859","697219.40578631067","2297251.4785917113",,,,"74296.621870115225","144542.48902432056","519438.06436348835",,,"60735.189172239858","94070.446273490612","280043.09818309732","1239606.7770907935",,,,,,,,,,,,,,,,,,,"1.5956356267836254","2.6788787557921996"
"1936",,,"15.584560536427317","12.126455130896282","6.7333670300468142",,"2.3149937948476222",,,"3.4581054055310343","5.393088100849468",,,"4.4183732351991925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146280","283.75299999999999","16044",,"1.1272869065857501E-2","9729.5608586242779",,,,,"151630.9301940838","235970.16639086403","655127.0430229468","2252387.3014307506",,,,"67291.693997303577","131180.94723284332","477653.68097763538",,,"54884.270475697376","85411.666470781871","245882.76713028527","1197089.2774793692",,,,,,,,,,,,,,,,,,,"1.5734707101653045","2.7437682208943981"
"1937",,,"15.542894870541213","12.092492962858499","6.708053913563492",,"2.3241347795874394",,,"3.4504019076827142","5.3844390492950067",,,"4.3839191339760522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148360","285.94","16330.3",,"1.1490492020796834E-2","9579.4089292704466",,,,,"148891.74590957433","231677.87013109351","642591.91557617683","2226383.7460407917",,,,"66105.621688055151","128949.35876982265","466615.04552455281",,,"53920.182912634104","83900.64242959996","252715.89110367841","1156922.6010666292",,,,,,,,,,,,,,,,,,,"1.5746428710244116","2.7402112693355223"
"1938",,,"17.817254056145696","13.80076702803099","7.6263057874165092",,"2.8952482260265331",,,"4.0164870281147067","6.1744612406144803",,,"4.7310575613899761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150440","273.03800000000001","16423.400000000001",,"1.1229344474869637E-2","9721.769975622703",,,,,"173215.24553107904","268335.76506735088","741411.90629023477","2814693.7275759643",,,,"78094.725994807231","150066.72976162992","511047.25948070927",,,"63834.418178694352","98888.855811111556","273229.97767134802","1343654.9150168139",,,,,,,,,,,,,,,,,,,"1.5835978728981761","2.7135086442895178"
"1939",,,"16.107120717423637","12.736824651186373","7.3845654193465586",,"2.8830459655633391",,,"3.3702960662372643","5.3522592318398141",,,"4.501519453783219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152560","359.06300000000005","18515.7",,"1.188221333968764E-2","10214.147140501349",,,,,"164520.50101758269","260191.60217996477","754270.37761863798","2944785.5705092726",,,,"68849.399855200594","136671.90832029647","510879.8006307896",,,"55721.937338556221","88125.066864105102","255466.0754011629","1350058.5734834559",,,,,,,,,,,,,,,,,,,"1.5121569205908363","2.9525265788586368"
"1940",,,"16.14837331727837","12.833249121186808","7.5270779657548479",,"2.984167525165792",,,"3.3151241960915616","5.3061711554319606",,,"4.5429104405890559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154720","398.18599999999998","20105.400000000001",,"1.2099836294626971E-2","10739.566872638614",,,,,"173426.53512524412","275647.07426043291","808375.57168788812","3204866.6695674495",,,,"71205.995990055308","142464.9499035691","542098.78303460346",,,"57491.306782970707","91377.657396489769","267978.4149190606","1491271.2010609303",,,,,,,,,,,,,,,,,,,"1.495891607797073","3.0165697186172515"
"1941",,,"14.063098113519288","11.322937472785652","6.8456522002461888",,"2.7325580254539759",,,"2.7401606407336363","4.4772852725394632",,,"4.113094174792213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156680","379.10899999999998","24405.5",,"1.3710246161178045E-2","11361.322668962037",,,,,"159775.39539296395","257287.09237759866","777756.63526486873","3104547.3438844397",,,,"62263.698408329205","127169.70665578119","519224.33430713858",,,"49956.361908302984","80444.971327020205","243178.19306480521","1452724.9790579404",,,,,,,,,,,,,,,,,,,"1.4548971186791646","3.1982992613881387"
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158520",,"35063",,"1.858500035181913E-2","11901.52009947538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,"10.316121106422349","8.2164136160925221","4.8439151959007223",,"1.8682995970523655",,,"2.099707490329827","3.3724984201917998",,,"2.975615598848357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160360","416.77599999999995","48845.3",,"3.2730492422875845E-2","9306.2388447942558",,,,,"96004.286968189568","152927.81511795335","450786.31756980479","1738684.2283802177",,,,"39080.758818425791","78463.189504990471","307686.54970198113",,,"31520.117965657937","50209.245076164079","148002.11902842214","801117.9360468674",,,,,,,,,,,,,,,,,,,"1.4888039724047688","3.045809887919487"
"1944",,,"11.128818382439567","8.7973924168223139","5.096787251515102",,"1.9969797236337647",,,"2.3314259656172531","3.7006051653072118",,,"3.0998075278813371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"162240","421.73099999999999","48804.7",,"3.1990574376082111E-2","9403.3298848183294",,,,,"104647.95047830955","165449.56604315882","479267.71878733032","1877825.9114621629",,,,"43846.334913460298","86995.027857115943","323872.36404568231",,,"35491.619171831328","56112.642085290128","162544.86856938447","846577.20742708805",,,,,,,,,,,,,,,,,,,"1.5132085306050149","2.9485256778976625"
"1945",,,"11.410627686845027","9.0132217054456145","5.2125011471769884",,"2.03079117494029",,,"2.3974059813994124","3.8007205582686261",,,"3.1817099722366984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164160","440.93299999999999","48183.1",,"3.2077623558057843E-2","9150.0866805530004",,,,,"104408.23241414996","164943.51975173823","476948.37319151394","1858191.5280805724",,,,"43872.945076561715","86942.306391794307","323476.91153717414",,,"35526.297184463278","56124.238154974104","162288.06154323567","815214.95476616162",,,,,,,,,,,,,,,,,,,"1.5157563745269484","2.9388999329716472"
"1946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166080",,"47726.7",,"3.4558525244366249E-2","8315.5096035749029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,"11.233210832761479","9.0462050218439227","5.4355438111194232",,"2.2710520401833039",,,"2.1870058109175563","3.6106612107244995",,,"3.1644917709361193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137760","461.47899999999998","52054.983749999999",,"3.7648771204504793E-2","10036.640650167807",,,,,"112743.70047599921","181587.01810398174","545545.99970449239","2279373.3225150276",,,,"43900.382848016707","90597.272703854047","352898.51939221076",,,"35219.526490196433","56725.198546684354","189770.21109226899","898297.86144637468",,,,,,,,,,,,,,,,,,,"1.4604102700441071","3.1719758768721658"
"1948",,,"11.838004504063127","9.2890968485180245","5.2900871850060547",,"2.1495838955709425",,,"2.5489076555451025","3.9990096635119698",,,"3.1405032894351121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140000","438.15700000000004","53844",,"4.3524590987866818E-2","8836.3840135157952",,,,,"104605.1537516314","164164.05378448925","467452.41831692279","1899454.877053408",,,,"45046.253718773536","88341.962651380862","308341.03401286883",,,"36592.522075634821","57427.15866942588","163522.18149006937","791333.58378485357",,,,,,,,,,,,,,,,,,,"1.5380253810785747","2.8586483745345044"
"1949",,,"12.003061153738097","9.3526027708501278","5.2399778710555074",,"2.0951864934481272",,,"2.6504583828879689","4.1126248997946204",,,"3.1447913776073801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142000","463.9","56308",,"4.4308033625648419E-2","8949.5104796992127",,,,,"107421.52158384962","167402.43302037421","468952.36870403233","1875089.3480038259",,,,"47440.610147325009","92014.9490994597","312714.92655961076",,,"38667.726536657836","60258.609319272662","168805.29789937113","786447.33504681464",,,,,,,,,,,,,,,,,,,"1.5624086133735129","2.7780666515785901"
"1950",,,"13.420942857467793","10.371590429538829","5.5957973535810686",,"2.0719384962863532",,,"3.0493524279289641","4.7757930759577603",,,"3.5238588572947154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143600","636.51499999999999","60018",,"4.7006558266896155E-2","8891.3688142510273",,,,,"119330.5527807342","184435.27139877193","497542.98080499138","1842236.9330926647",,,,"54225.83416269649","106158.34404721705","348132.54166191659",,,"44372.933285691142","68582.050469034075","201893.05290741948","845349.96819025546",,,,,,,,,,,,,,,,,,,"1.6126978636039619","2.6321258150271336"
"1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146000",,"63238",,"4.8486394360483631E-2","8933.1655202304773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148800",,"62174",,"4.3325757330784996E-2","9644.0558053092391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953",,,"11.924448626077178","9.4145675076871758","5.1456781148785993",,"1.8489342085868741",,,"2.5098811183900018","4.2688893928085765",,,"3.2967439062917254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"151600","465.49400000000003","67872",,"4.7122645884650115E-2","9500.8350461484461",,,,,"113292.21941263071","178892.5058427295","488882.38970037666","1756641.8926964914",,,,"47691.932982531973","101395.03487831772","348020.22270080837",,,"39391.881991126735","63499.599289255231","203730.78707242274","801960.0220916667",,,,,,,,,,,,,,,,,,,"1.5747924638112629","2.7397583701242767"
"1954",,,"13.580796517543707","10.554987083662013","5.6758046198461631",,"2.009334320639597",,,"3.0258094338816939","4.8791824638158499",,,"3.6664702992065661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154400","494.32799999999997","63161",,"3.7375006170549459E-2","10945.11750259538",,,,,"148643.413663354","231051.14773811452","621223.48485989962","2199240.0241398052",,,,"66235.679588593484","133508.06345766826","445888.313828799",,,"54053.178985761806","84020.197974187133","263407.51673728478","1027295.1433031171",,,,,,,,,,,,,,,,,,,"1.6100410014085862","2.6392340804814718"
"1955",,,"14.406190599249401","11.147852807258115","5.9153368054089821",,"2.0145478148692582",,,"3.2583377919912859","5.2325160018491328",,,"3.9007889905397239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157200","539.11299999999994","64127",,"3.9527017351608414E-2","10320.347886252928",,,,,"148676.89869992036","230099.43831129011","610483.33696176729","2079083.4282941404",,,,"67254.359088550598","135003.46364867082","447305.54903594812",,,"54999.010066929462","85119.08329228712","263421.00648967182","1001743.9929845937",,,,,,,,,,,,,,,,,,,"1.6301769992956301","2.5868557581722809"
"1956",,,"12.770892857392496","9.8509403290779236","5.1763020995253157",,"1.6922086395048688",,,"2.9199525283145729","4.6746382295526079",,,"3.4840934600204472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160400","624.78","76804",,"4.4701109976576156E-2","10711.768240776893",,,,,"136798.84451618142","211041.97951761034","554473.48434362025","1812654.6761416527",,,,"62555.709514752467","125184.10331110789","414675.57414383895",,,"51234.729863415487","79040.717402742681","242834.83523817931","913188.54825836897",,,,,,,,,,,,,,,,,,,"1.6452825093786647","2.5497088259263201"
"1957",,,"13.335719772409654","10.259198766274695","5.3055681466807743",,"1.682146727320885",,,"3.0765210061349588","4.9536306195939206",,,"3.6234214193598895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163600","783.97814207650276","78239",,"4.6755979322972603E-2","10228.285307191672",,,,,"136401.54660896314","209868.02400929283","542668.64720999112","1720547.6655596765",,,,"62935.069208633475","126667.86820911821","411793.20072669286",,,"51611.294170777561","79409.365901366284","241292.73478463461","895079.72252976475",,,,,,,,,,,,,,,,,,,"1.6674574967546514","2.4982227405673845"
"1958",,,"12.563757540083403","9.6433989418674742","4.9215638435908957",,"1.5081528535118884",,,"2.9203585982159286","4.7218350982765784",,,"3.4134109900790071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167200","837.13199999999995","87213",,"4.8693458830288729E-2","10712.092839668754",,,,,"134584.13718446172","206601.96951049566","527202.48808902665","1615547.33832307",,,,"62566.304858427859","126451.83986586284","406275.28250746627",,,"51364.62392989151","78850.544269839214","238936.18400783124","868131.27844775375",,,,,,,,,,,,,,,,,,,"1.6863873460487013","2.4569033152441695"
"1959",,,"12.360283866225656","9.4395721836173312","4.7701283069598501",,"1.4432293187890093",,,"2.9207116826083244","4.6694438766574811",,,"3.3268989881708411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170400","898.73699999999997","91245",,"4.845385038670718E-2","11051.244593341509",,,,,"136596.52024879257","208638.04211531588","527158.54661835323","1594948.0206218986",,,,"64554.998382269252","129007.91598955652","408515.27172907052",,,"53124.913158919371","81143.193463752192","241001.38324216302","860932.50199426338",,,,,,,,,,,,,,,,,,,"1.7050251401702943","2.4183891368163928"
"1960",,,"12.314302073513277","9.446114186192851","4.7854056915339251",,"1.4669722974356565",,,"2.8681878873204258","4.6607084946589259",,,"3.3184333940982684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173600","1013.4669999999999","99694",,"4.8341881622950042E-2","11879.434028396479",,,,,"146286.93908804696","224428.98059915614","568479.11211690307","1742680.0628872099",,,,"68144.897576937743","138416.44771971944","438012.33980909112",,,"55960.895853142392","85853.507415157233","266405.03558754298","929205.03617297765",,,,,,,,,,,,,,,,,,,"1.6963270611785617","2.4361067603885158"
"1961",,,"12.154978742252872","9.2907632239414486","4.6131651332791481",,"1.3756128013397451",,,"2.8642155183114237","4.6775980906623005",,,"3.2375523319394031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177600","1035.25","104622",,"4.9188842786883173E-2","11976.045876706934",,,,,"145568.58304761795","222533.21319908882","552474.77272975934","1647440.2017430128",,,,"68603.952896147079","140047.82331642119","430811.94728384231",,,"56433.787821022583","86271.308505487745","266397.36691736465","895796.9739979828",,,,,,,,,,,,,,,,,,,"1.7263858125031339","2.3766788706321074"
"1962",,,"11.584115807755584","8.749230079000796","4.2417427885769392",,"1.2674859699828356",,,"2.8348857287547879","4.5074872904238568",,,"2.9742568185941036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"181600","1108.07","111629",,"5.0947911552615147E-2","12065.207735336982",,,,,"139764.76365077207","211122.55685480681","511775.07904048346","1529248.1529468005",,,,"68406.970446737367","135959.42630838763","398722.51527311496",,,"56593.542236011766","85487.736867584215","252343.54269864073","827278.14006232575",,,,,,,,,,,,,,,,,,,"1.7740516712976029","2.2919034181834688"
"1963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185600",,"127806",,"5.2446380968507206E-2","13129.788959253397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1964",,,"9.6536973446627954","6.9852152532670715","3.2305174290516185",,"1.0436950859533294",,,"2.6684820913957239","3.754697824215453",,,"2.1868223430982892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189600","1559.4212765957448","149611",,"5.945008873709369E-2","13273.109754843266",,,,,"128134.58439574829","185431.0574356383","428790.12400736223","1385307.9426449118",,,,"70838.111355858287","124591.2907927073","322510.3663809679",,,"59810.279905932846","86554.957045981122","232561.68585320914","724644.43377248931",,,,,,,,,,,,,,,,,,,"1.9062927143511976","2.1033962694005393"
"1965",,,"10.9213053412699","8.2269899815052376","3.9265513287191078",,"1.2147883263223787",,,"2.6943153597646621","4.3004386527861298",,,"2.7117630023967294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194400","1551.826","157290",,"6.5085629741178055E-2","12431.391406814711",,,,,"135767.02137066223","204545.86512006988","488124.964462556","1510150.9160942843",,,,"66988.17762125461","133651.09028444832","374566.52539236413",,,"55489.164063927252","83599.676516863765","243655.99449475735","788330.56037012395",,,,,,,,,,,,,,,,,,,"1.7994131874621209","2.250917567640681"
"1966",,,"9.9853184392618513","7.5726060186969804","3.6628054303175754",,"1.1623071288754945",,,"2.4127124205648709","3.9098005883794049",,,"2.500498301442081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"198000","1479.203","176505",,"7.2121917292028576E-2","12360.1732650821",,,,,"123420.26601629563","187197.44491859642","452729.09755008831","1436631.7500141221",,,,"59643.087113994872","120814.53176072345","343406.58060964011",,,"49246.977525485963","74695.255976172557","222344.67130738124","719448.04589800816",,,,,,,,,,,,,,,,,,,"1.7716300483513583","2.2959578260807367"
"1967",,,"10.01050499528375","7.5942111565000205","3.5062819707075397",,"1.0288733675156261",,,"2.4162938387837292","4.0879291857924809",,,"2.4774086031919138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"202400","1760.5768421052633","208215",,"8.1536187506140043E-2","12616.854780911632",,,,,"126301.08780908555","191630.11867427948","442382.50445345673","1298114.5865892177",,,,"60972.056943891628","128942.02222948513","347301.16199392785",,,"50336.381134923504","76372.7918567085","226639.74633463193","693130.48099413863",,,,,,,,,,,,,,,,,,,"1.8369155112312525","2.1948637426122275"
"1968",,,"9.9506660710046155","7.5159534163387756","3.4756226902342791",,"1.0082730383267284",,,"2.43471265466584","4.0403307261044965",,,"2.4673496519075506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"207200","1800.7439999999999","219177",,"8.3979340646247971E-2","12596.00332550735",,,,,"125338.6229213873","189341.9484531231","437789.5496439978","1270021.0543782872",,,,"61335.297389651496","127230.04815540441","345319.382451299",,,"49237.851691431279","81173.453573912659","229643.1958086309","669860.98551275581",,,,,,,,,,,,,,,,,,,"1.8410087481633248","2.1890482734976247"
"1969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"211600",,"240947",,"8.4462032434609008E-2","13481.689860560407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970",,,"10.017127520308089","7.7389621105353141","3.427991835520551",,"1.0258268218362336",,,"2.2781654097727744","4.3109702750147632",,,"2.4021650136843173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"216400","1967.96","255521",,"8.8765510549197443E-2","13302.249419593638",,,,,"133250.32874301373","205891.20848625107","456000.02404424979","1364580.4245374624",,,,"60609.448999776381","143364.00459675142","355046.64621167065",,,"49603.349475611685","76644.415551094819","240723.91802604857","706785.85977920669",,,,,,,,,,,,,,,,,,,"1.8716197036375153","2.1472893462902656"
"1971",,,"8.4696034583229469","6.3139843453766407","2.8333745459303752",,"0.88013309240985482",,,"2.1556191129463063","3.4806097994462655",,,"1.9532414535205205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221600","1956.89","271019",,"9.1500475053255884E-2","13366.159324156595",,,,,"113206.06923637219","168787.44146106951","378713.3560591524","1176399.9139612757",,,,"57624.697011674878","116305.96281154879","290081.51629224984",,,"47970.363320212942","71522.621935319738","195913.34091941759","556434.7734394751",,,,,,,,,,,,,,,,,,,"1.9067925093811275","2.102788112665912"
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226800",,"297570",,"9.7412853447424133E-2","13468.828707960723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
