"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142"
"1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986","17.371315922294471","9.8014589823826146","2.6484722920019581","1.5069872206037762","0.46915173321912124",,,"7.5698569399118565","7.152986690380656","1.1414850713981819","1.0378354873846549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131571.69904740949",,"183371.47696237499",,"0.31621122798972118","4407.4968775153884",,,"7656.4020685846226","8639.9799719893053","11673.133357184654","13284.082938533475","20677.847992442094",,"4046.5074118410284","6672.824165179939","7881.6916256904688","10062.183775835834","11435.64167505632",,"6321.421279559856","7133.5011877192019","9496.0149895089926","10806.511572023936","14188.548439525686",,,,,,,,,,,,,,,,,,,,"5.4596264271707193","1.2242340286413678"
"1987","17.804900311209241","9.9720474922938305","2.6676579137425169","1.4855214367218268","0.46460282663333774",,,"7.832852818915411","7.304389578551314","1.1821364770206901","1.0209186100884891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136072.40124346042",,"199209.99542042607",,"0.33904161571696245","4318.0539855088809",,,"7688.2520750405383","8611.9678835566428","11519.090886410182","12829.123520791125","20061.800872227755",,"3943.5875311164746","6764.5362665244311","7885.187132843259","10209.058252029237","11020.954182931968",,"6340.7862590399618","7055.6383773820617","9437.3946616649682","9179.8272105332198","11627.140760522791",,,,,,,,,,,,,,,,,,,,"5.6950659802833989","1.212989552053034"
"1988","19.195132738553433","11.093237853621497","3.3448659051611327","2.0196456609698767","0.62439095355025021",,,"8.1018948849319354","7.748371948460365","1.3252202441912559","1.3952547074196264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139163.75869001768",,"273108.87642915972",,"0.40256582725298246","4874.9791143268494",,,"9357.5871197179513","10815.860569332963","16306.151427884492","19691.460831137989","30438.928577320956",,"4376.9115581722817","7899.3136701029434","9443.2878546950778","12920.842024631","17004.593894592243",,"7318.0086240223054","8079.9505209253584","12014.223200749831","14195.408567296505","22580.3534116103",,,,,,,,,,,,,,,,,,,,"4.1461502714497307","1.3178487719021776"
"1989","19.74360373561618","11.714786711555924","3.4492278082811501","2.0305737356019726","0.56130680132898936",,,"8.0288170240602561","8.2655589032747727","1.4186540726791774","1.4692669342729832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141923.34857017788",,"316574.22132063878",,"0.47636842985603661","4682.5101333312741",,,"9244.9624560499942","10970.921497335032","16151.044164444505","19016.364186865154","26283.247851307566",,"4175.570986362527","7519.0034147649576","9675.8908305576642","13285.724142023861","17199.64327075455",,"7055.956488256983","8251.9038586884362","12305.067558227473","14535.683537016876","21855.56008024987",,,,,,,,,,,,,,,,,,,,"4.1271925994827914","1.3197756352344243"
"1990","19.337806546491802","11.353382432209507","3.3290808857893222","1.9489655354589555","0.56684492260948727",,,"7.9844241142822945","8.024301546420185","1.3801153503303667","1.3821206128494681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149393.78804807499",,"364281.81277642609",,"0.4909372876590466","4966.8258274434766",,,"9604.7517001221004","11278.054618628243","16534.96492518681","19360.34471662949","28154.200017719999",,"4451.5007304791843","7931.4487816159608","9963.8270419886012","13709.585133744133","17161.880891356861",,"7379.3498286387658","8664.9517880087387","12666.132880111563","15068.732794628013","20662.783781158345",,,,,,,,,,,,,,,,,,,,"4.2387764500505005","1.308758574548857"
"1991","19.504467261612085","11.559054623715477","3.3830868258260023","1.9765910129006876","0.60838954969253067",,,"7.9454126378966077","8.1759677978894754","1.4064958129253147","1.3682014632081569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"157967.89617428312",,"424665.09528532531",,"0.50833397180074003","5288.452374089562",,,"10314.844619502457","12225.901973403808","17891.293555790642","20906.214869557469","32174.391584427431",,"4729.9643468214617","8403.7872656011041","10809.554077807101","14876.372242023817","18089.170690839976",,"7826.4377259651083","9181.712352624254","13940.473939978729","16057.756073054488","22690.50469405661",,,,,,,,,,,,,,,,,,,,"4.1809681679099437","1.3143696972790049"
"1992","20.626356406255812","12.515741802949453","3.9626739924175771","2.388163215802305","0.75311621231657688",,,"8.1106146033063595","8.5530678105318749","1.5745107766152722","1.6350470034857281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170910.74600355237",,"538779.03570159851",,"0.54056415063414165","5831.6852797246829",,,"12028.641902871692","14597.573447419036","23109.067589929426","27854.032542348526","43919.367292885901",,"5143.1345438194594","9459.7103583243479","12469.69991179144","18364.102637510321","23837.698854714181",,"8826.562541193096","10425.596094867051","16450.804136420622","20337.021250192276","30236.217664948119",,,,,,,,,,,,,,,,,,,,"3.5265180262274756","1.3958016486006124"
"1993","22.647940382406549","13.8334862146919","4.3381130988856427","2.5816701198672196","0.74560485778367436",,,"8.8144541677146488","9.4953731158062578","1.7564429790184231","1.8360652620835451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172102.31136476877",,"689441.85932726378",,"0.61939602083075584","6467.5907905042914",,,"14647.761064114284","17893.865608541881","28057.140326518816","33394.371782746683","48222.671115569538",,"5558.6829823254038","11401.656519686687","15353.046929047647","22719.90887029095","29687.29694954096",,"10348.286929149665","12737.996383723625","20428.715873263987","25087.314306892476","38111.813911884012",,,,,,,,,,,,,,,,,,,,"3.5426802629583745","1.3932857837329942"
"1994","23.573923192991387","14.394882072892745","4.4162084570360891","2.6083996708630579","0.76583387547458592",,,"9.1790411200986419","9.9786736158566569","1.8078087861730312","1.842565795388472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175306.04831547156",,"957539.16650393733",,"0.76951960016311516","7098.064817117327",,,"16732.923481759834","20435.161197630587","31346.533873943859","37029.179865466976","54359.384872627706",,"6027.5249654903819","13030.685765889079","17707.318028552269","25663.887882420742","32696.628613676785",,"11834.610073433951","14685.457382502982","23707.676096773284","28381.616840240247","40990.374295990427",,,,,,,,,,,,,,,,,,,,"3.6681403914181305","1.3747928719254892"
"1995","23.303375695238543","14.258397484320245","4.3785806573627459","2.5630473790707109","0.696278282078027",,,"9.0449782109182983","9.879816826957498","1.815533278292035","1.8667690969926838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178983.20407317506",,"1183759.1150991651",,"0.8995458059021082","7352.3771181027969",,,"17133.520623622469","20966.623080906127","32192.976234961356","37688.981804985684","51193.005089824095",,"6265.5833952672774","13300.418166338815","18160.034792392322","26696.970664937031","34312.975983776072",,"12052.375456514359","14940.712443971703","24469.762109029783","30036.390005095","41533.660185918918",,,,,,,,,,,,,,,,,,,,"3.6507740071093924","1.3772483045774531"
"1996","23.976004564865427","14.783875919557818","4.6943195679494645","2.8177974275319975","0.86116834529650255",,,"9.1921286453076085","10.089556351608355","1.876522140417467","1.9566290822354948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189748.23076923081",,"1405541.0446000001",,"0.97442397627479671","7601.8244422908601",,,"18226.137752967123","22476.885863417978","35685.393231562506","42840.802716074097","65464.505762021276",,"6421.345185549053","13975.389642516269","19174.759021381848","28529.983747050919","37184.876954587293",,"12631.630176733337","15789.770837625148","26064.085616216267","31554.10847521343","48217.446572633955",,,,,,,,,,,,,,,,,,,,"3.4270536733708181","1.4120222024637585"
"1997","24.781031574906304","15.314914267013064","4.8887251488412051","2.936643138416303","0.89993225776360419",,,"9.4661173078932404","10.426189118171859","1.9520820104249021","2.0367108806526986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"195328.15318991095",,"1566570.8542137239",,"1.0017747065831073","8005.9917138012152",,,"19839.673344814611","24522.215343856518","39139.093032674304","47021.48126510423","72048.501986378338",,"6691.1381992441702","15157.131345772708","20867.995921652077","31256.704800244363","40764.726084785696",,"13579.079373952574","17177.751132707308","28809.292368199651","34553.953957758771","52945.176404095364",,,,,,,,,,,,,,,,,,,,"3.3889546620246094","1.4185931260631428"
"1998","24.716411807810594","15.244474161003735","4.843731570193091","2.8876701299157292","0.86889460010736819",,,"9.4719376468068592","10.400742590810644","1.9560614402773617","2.0187755298083609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"207850.51385199241",,"1719713.5815086144",,"0.99331353228407859","8329.4948987302905",,,"20587.522606807546","25395.753951581268","40345.837404742211","48105.667232697801","72374.531391286189",,"6967.4918200550392","15779.291262033825","21658.233088291032","32586.007576786618","42038.451193050707",,"14177.121241303534","17768.85634191865","30106.587123902867","35897.072780164031","54006.813962604429",,,,,,,,,,,,,,,,,,,,"3.4223762052479207","1.4128177934680686"
"1999","24.940253500241095","15.350665883092418","4.7688156716465473","2.8387080067016202","0.85116542840165554",,,"9.5895876171486769","10.581850211445872","1.9301076649449271","1.9875425782999647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214965.59725138391",,"1924930.9371472422",,"0.97932833745304149","9143.6136967999973",,,"22804.404350646855","28072.111764728852","43604.208292781848","51912.098822585504","77827.278693760149",,"7625.7480685947894","17536.696936564858","24189.087632715604","35296.317762978193","45433.30385479184",,"15837.351338851699","19851.821291354303","32633.239503949171","38850.836200379817","58245.667677321442",,,,,,,,,,,,,,,,,,,,"3.5522758094527971","1.3918071849038909"
"2000","25.529919516581533","15.846209569870023","5.0409283737276329","3.0585896511190187","0.95871083404219881",,,"9.6837099467115095","10.80528119614239","1.9823387226086142","2.0998788170768199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208202.41763695364",,"2045484.6520742513",,"0.98814229249011853","9942.3940000000021",,,"25382.85186221432","31509.851790043667","50118.896017379382","60819.406791495654","95318.808441161542",,"8226.787570865079","19255.851934384969","26857.590733209734","39418.38524326311","52194.556379079186",,"17359.778933689468","21827.588564891474","36126.847541666713","43840.020657459419","68707.979106584375",,,,,,,,,,,,,,,,,,,,"3.3845405183558928","1.4193680049896933"
"2001","25.910476427165875","16.07898381048075","5.0532268217789165","3.0568192750410788","0.95147003085487514",,,"9.8314926166851251","11.025756988701833","1.9964075467378377","2.1053492441862036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214618.98444022768",,"2315094.9851567359",,"1","10787",,,"27949.630921983829","34688.799672731169","54509.157726529163","65947.819039736234","102635.07222831537",,"8880.0410086684624","21210.46217123649","29733.710159281669","43070.496413322107","56776.005742591442",,"18877.769213049807","24215.755254923777","39528.60645297914","47823.62256141223","74428.252932105883",,,,,,,,,,,,,,,,,,,,"3.4471657080044822","1.4086359974435243"
"2002","26.704753869862476","16.705712081062217","5.3230940136095928","3.2447415543791926","1.0284188761482465",,,"9.999041788800259","11.382618067452624","2.0783524592304001","2.216322678230946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"252297.32532128046",,"3016976.1654279619",,"0.997","11994.000826444606",,,"32029.683998513028","40073.664901321172","63845.193998475792","77834.865769646378","123348.56850453302",,"9767.8138073258924","23985.703095704888","34130.782627032517","49855.522227305199","66456.440085924725",,"21136.908293987766","27643.822057559475","45583.464981015881","55560.201301052264","88006.828536725472",,,,,,,,,,,,,,,,,,,,"3.3380560488535771","1.4277057431922267"
