v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163
1958,,31.92828168444219,,20.65661207487883,,7.25680623858398,,4.508428580368267,,1.475605459798585,,,,11.27166960956336,,13.39980583629485,,2.748377658215714,,3.032823120569682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,,1568,,1754,,0.04574661654135338,,24452.5723114057,,24452.5723114057,,78072.86166677531,,101021.4600939262,,177447.5792988348,,220485.3517445264,,360823.4920882996,,,18494.7623830313,,55124.26323962445,,81914.93029269899,,134409.8068531432,,185400.8166585831,,,,,,,,,,,,,,,,,,,,,,,,,,3.24438604397911,1.445556147830559
1959,,32.64662495614442,,21.37245818597705,,7.6024307620367,,4.767707338189662,,1.625307047601837,,,,11.27416677016737,,13.77002742394035,,2.834723423847038,,3.142400290587824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,,1589,,1891,,0.04612155388471178,,25802.61372742523,,25802.61372742523,,84236.82532475149,,110293.0565956626,,196162.584342328,,246038.6216254371,,419371.6993773212,,,19309.92354994452,,58180.59405384037,,88825.67465899629,,146286.5470592188,,202705.352187466,,,,,,,,,,,,,,,,,,,,,,,,,,3.030459650238118,1.492499321462865
1960,,32.16767722922565,,20.93178567780583,,7.437235409203588,,4.708212378969598,,1.661748791473859,,,,11.23589155141983,,13.49455026860224,,2.729023030233989,,3.046463587495739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611,,1611,,2046,,0.04687151211361738,,27095.74674901423,,27095.74674901423,,87160.72357071299,,113432.472746094,,201517.4471605816,,255145.0605222681,,450263.2441425615,,,20421.86043549214,,60888.97439533204,,91411.22914247206,,147889.8337988952,,206365.5146171947,,,,,,,,,,,,,,,,,,,,,,,,,,2.864066998791322,1.536461404363904
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649,,1649,,2110,,0.04799640768588137,,26659.56544320389,,26659.56544320389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,31.96995599958711,,20.58511220865006,,7.251788735113283,,4.595384500030718,,1.610182943604594,,,,11.38484379093706,,13.33332347353677,,2.656404235082564,,2.985201556426124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,,1690,,2225,,0.04876441102756893,,26998.54298646111,,26998.54298646111,,86314.2231330123,,111153.6073692728,,195787.7298936904,,248137.3719267929,,434725.9341897512,,,20407.91185906653,,61474.8388967518,,89995.0767381684,,143438.0878605879,,201490.2313610533,,,,,,,,,,,,,,,,,,,,,,,,,,2.886585380373587,1.530058173037457
1963,,31.98105356093581,,20.6714747855435,,7.287754142213388,,4.631458246259428,,,,,,11.30957877539231,,13.38372064333011,,2.65629589595396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,,1728,,2406,,0.04991629072681705,,27893.92182065881,,27893.92182065881,,89207.70077710455,,115321.700317134,,203284.0442910827,,258379.0684736121,,,,,21081.27971438706,,63093.70123707504,,93331.11432364692,,148189.0201085532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,32.32323004527065,,20.84843307355779,,7.424480770758051,,4.816468141277688,,1.801640183071685,,,,11.47479697171286,,13.42395230279974,,2.608012629480363,,3.014827958206002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765,,1765,,2599,,0.05222013366750209,,28198.34311100798,,28198.34311100798,,91146.15312725837,,117578.2538270138,,209358.0561949165,,271632.8424619742,,508032.6804483461,,,21204.14199809127,,64714.05242750291,,94633.30323503817,,147083.2699278588,,212532.8829653812,,,,,,,,,,,,,,,,,,,,,,,,,,2.597389287712891,1.626021476224984
1965,,31.05524968895258,,19.68938149929624,,6.723273207512447,,4.233002209121677,,1.428646612162523,,,,11.36586818965635,,12.96610829178379,,2.49027099839077,,2.804355596959154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,,1804,,2799,,0.05337201336675021,,29070.51858374794,,29070.51858374794,,90279.22132056282,,114476.1061555588,,195449.0387226052,,246111.1387706356,,415314.9788847915,,,22269.55161299073,,66082.33648556686,,94232.8730137972,,144786.9386745748,,203810.1787420966,,,,,,,,,,,,,,,,,,,,,,,,,,3.054889745580993,1.486644114191763
1966,,30.72254563161598,,19.29915929822104,,6.56160488292586,,4.119991541051802,,1.380850251756941,,,,11.42338633339494,,12.73755441529518,,2.441613341874057,,2.739141289294861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827,,1827,,2926,,0.05490793650793651,,29167.59705253756,,29167.59705253756,,89610.2831411173,,112582.020372649,,191386.2472431443,,240340.5062585245,,402760.837331415,,,22451.74304269536,,66638.54590958562,,92880.96365502513,,142431.9882277643,,199735.4234903018,,,,,,,,,,,,,,,,,,,,,,,,,,3.094667344082342,1.477402773679127
1967,,30.91250016825993,,19.38534220028882,,6.5891029415765,,4.141554782780484,,1.405804409193663,,,,11.52715796797111,,12.79623925871232,,2.447548158796016,,2.73575037358682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853,,1853,,3017,,0.05836365914786967,,27896.99203306692,,27896.99203306692,,86236.57709161268,,108158.5473839466,,183816.1522662174,,231073.8415594747,,392177.1440332597,,,21414.81591545072,,64314.60679927878,,89244.14616337891,,136558.4629729601,,190798.0159410284,,,,,,,,,,,,,,,,,,,,,,,,,,3.038602941751176,1.490532010682272
1968,,31.15070115829982,,19.58648941768194,,6.71541203351954,,4.232004232149932,,1.43920683438827,,,,11.56421174061788,,12.8710773841624,,2.483407801369608,,2.792797397761662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878,,1878,,3138,,0.06143542188805347,,27198.09624839262,,27198.09624839262,,84723.9768308354,,106543.0448700474,,182646.4228352784,,230204.9168592375,,391436.8600303662,,,20806.33173923231,,62904.90879162342,,87517.20037873961,,135087.9288113194,,189896.9310664553,,,,,,,,,,,,,,,,,,,,,,,,,,3.020686737091887,1.49488126073375
1969,,31.01867723189903,,19.47017136732601,,6.697826765339128,,4.228254817731593,,1.448064413263995,,,,11.54850586457302,,12.77234460198689,,2.469571947607535,,2.780190404467599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,,1908,,3445,,0.063990559732665,,28215.96752862721,,28215.96752862721,,87522.19895562311,,109873.9446154556,,188985.6625231791,,238608.6012797524,,408585.3846401748,,,21626.386258961,,65170.45329579062,,90096.01513852474,,139362.7237666057,,196114.4054396468,,,,,,,,,,,,,,,,,,,,,,,,,,2.986376418706959,1.50342925468827
1970,,30.76031708089141,,19.11045142492829,,6.639184486312251,,4.214458820790235,,1.480830729473347,,,,11.64986565596312,,12.47126693861604,,2.424725665522016,,2.733628091316889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,,1947,,4011,,0.06969273182957393,,29559.64554468453,,29559.64554468453,,90926.40697532552,,112979.6340639583,,196251.9401211586,,249155.817810457,,437728.3147490876,,,22741.11649683553,,68873.17988669271,,92161.55754965825,,143348.0624318602,,202012.6935757993,,,,,,,,,,,,,,,,,,,,,,,,,,2.870340837394403,1.534661907608836
1971,,30.66445441230503,,19.01108705415554,,6.432562722888136,,4.00011928359081,,1.307800855333281,,,,11.6533673581495,,12.5785243312674,,2.432443439297326,,2.692318428257529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,,1984,,4696,,0.07666198830409356,,30874.95558401242,,30874.95558401242,,94676.36679878914,,117393.2936801691,,198605.0883605452,,247007.0104232357,,403782.9332114849,,,23785.90989348166,,71959.43991740917,,97090.34501007511,,150203.1662978547,,207813.0297261734,,,,,,,,,,,,,,,,,,,,,,,,,,3.24509290311392,1.44541586613766
1972,,31.29030196769364,,19.90394633147637,,7.077963575787328,,4.465740981226605,,1.517807994736481,,,,11.38635563621727,,12.82598275568904,,2.612222594560723,,2.947932986490124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036,,2036,,5482,,0.08046340852130326,,33462.84268366063,,33462.84268366063,,104706.2452269169,,133208.5249748436,,236848.7816572514,,298872.7758415243,,507901.7015186925,,,25546.90906774327,,76203.96547899018,,107298.4608042416,,174824.7874729786,,246615.5444222322,,,,,,,,,,,,,,,,,,,,,,,,,,3.018334759624286,1.495457948802383
1973,,31.8448895885902,,20.35409127002903,,7.466944384907248,,4.787975438531126,,1.688113260906841,,,,11.49079831856118,,12.88714688512178,,2.678968946376123,,3.099862177624284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2094,,2094,,6391,,0.08869983291562239,,34408.78506562959,,34408.78506562959,,109574.3961292506,,140071.9103433272,,256928.4844372832,,329496.8355278621,,580859.2636098259,,,26057.05050300503,,79076.88191517386,,110857.7668198383,,184360.1333467043,,266656.2285073712,,,,,,,,,,,,,,,,,,,,,,,,,,2.822796163586307,1.548607694034491
1974,,32.02490887724757,,20.38458816189947,,7.546642211385573,,4.947576681951537,,1.680292921438567,,,,11.6403207153481,,12.83794595051389,,2.599065529434037,,3.26728376051297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157,,2157,,7211,,0.1001040935672515,,33395.92776169958,,33395.92776169958,,106950.1543439571,,136152.4467413582,,252027.1181348254,,330457.8269318457,,561149.4102285753,,,25223.23591922652,,77747.86194655608,,107183.7788929914,,173596.4093378051,,272784.9311076632,,,,,,,,,,,,,,,,,,,,,,,,,,2.876611456117737,1.532875357197681
1975,,29.98260516934854,,18.70067825300114,,6.557200038626195,,4.204704738552797,,1.451277974734992,,,,11.28192691634739,,12.14347821437495,,2.352495300073397,,2.753426763817806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196,,2196,,8593,,0.1153097744360902,,33934.88278468442,,33934.88278468442,,101745.6192001316,,126921.0649019382,,222517.8147065081,,285372.3248939926,,492489.4796062614,,,26400.3565163014,,76570.17349832499,,103021.8774507957,,159663.3045190235,,233593.0362159254,,,,,,,,,,,,,,,,,,,,,,,,,,2.898280457952916,1.526792548387918
1976,,31.10351593469984,,20.36358813741528,,7.481017471070545,,4.740059914438459,,1.545036861269502,,,,10.73992779728455,,12.88257066634474,,2.740957556632086,,3.195023053168956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231,,2231,,9978,,0.1336832915622389,,33455.4440864248,,33455.4440864248,,104058.1938244573,,136254.5768660561,,250280.7617129677,,317161.6188675988,,516898.9432366711,,,25610.6941155323,,71861.81078285855,,107748.0306543282,,183399.9045583366,,267227.2877753307,,,,,,,,,,,,,,,,,,,,,,,,,,3.174823132092851,1.459807505835057
1977,,28.85965983808013,,17.89030825476936,,6.130945044509644,,3.859703046641874,,1.310171767450708,,,,10.96935158331076,,11.75936321025972,,2.27124199786777,,2.549531279191166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2253,,2253,,11393,,0.1545911445279866,,32710.88491826712,,32710.88491826712,,94402.50117437747,,117041.562894817,,200548.637791175,,252508.6043547746,,428568.7790824273,,,25856.26088981042,,71763.43945393793,,96164.79417072746,,148588.6712275755,,208493.5606728615,,,,,,,,,,,,,,,,,,,,,,,,,,3.032133212987747,1.492093723781892
1978,,29.10179945603739,,17.99289799530915,,6.116726834534559,,3.846935292229277,,1.29338903412933,,,,11.10890146072824,,11.87617116077459,,2.269791542305281,,2.553546258099948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2273,,2273,,13198,,0.1697968253968254,,34196.300287962,,34196.300287962,,99517.38731187041,,123058.1085796523,,209169.4276131791,,263101.9088828625,,442291.1980024371,,,26938.40172974995,,75976.66604408853,,101530.2788212706,,155236.9463434956,,218304.5866029688,,,,,,,,,,,,,,,,,,,,,,,,,,3.074935357073102,1.481942724910041
1979,,28.21797807943752,,17.28903711856059,,5.773727088473134,,3.622592486940192,,1.214322281533331,,,,10.92894096087693,,11.51531003008746,,2.151134601532942,,2.408270205406861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291,,2291,,15693,,0.1976738512949039,,34652.26778055486,,34652.26778055486,,97781.69326344959,,119820.8687800629,,200072.7371616144,,251062.0898345554,,420790.2087158732,,,27637.88717134434,,75742.51774683635,,99757.90168467497,,149083.3844886733,,208630.060114226,,,,,,,,,,,,,,,,,,,,,,,,,,3.097147813685341,1.476838110062776
1980,,28.83093969652835,,17.50678897786544,,5.652585483853755,,3.517538534487985,,1.176705059032958,,,,11.32415071866291,,11.85420349401168,,2.135046949365769,,2.340833475455028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327,,2327,,18332,,0.2299859649122807,,34254.0661156936,,34254.0661156936,,98757.69145424572,,119935.7414242598,,193624.0368885364,,240979.9950497028,,403069.3289078606,,,27086.99663363225,,77579.64148423169,,101513.6675581906,,146268.07872737,,200457.6615851634,,,,,,,,,,,,,,,,,,,,,,,,,,3.140501498301619,1.467180238272877
1981,,28.48058344988744,,17.14587550976689,,5.50245432321783,,3.442571623736065,,1.141836887373377,,,,11.33470794012054,,11.64342118654906,,2.059882699481765,,2.300734736362688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356,,2356,,21988,,0.2654659147869674,,35156.17969209464,,35156.17969209464,,100126.8509499939,,120556.6960799299,,193445.272934589,,242055.3332139423,,401426.2279156048,,,27937.21621899472,,79697.00582005795,,102334.5518662652,,144835.2126552358,,202212.6095385266,,,,,,,,,,,,,,,,,,,,,,,,,,3.15410029293085,1.464230938216627
1982,,28.70148253568775,,17.23980048967868,,5.486440618326013,,3.414137265423372,,1.13674676313908,,,,11.46168204600907,,11.75335987135266,,2.072303352902642,,2.277390502284292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2401,,2401,,24521,,0.3066479532163742,,33304.73228735985,,33304.73228735985,,95589.51921014146,,114833.3879992487,,182724.436003845,,227413.8552344485,,378590.4662486991,,,26384.20040705079,,76345.65042103422,,97860.62599809965,,138035.0167732414,,189619.7024808858,,,,,,,,,,,,,,,,,,,,,,,,,,3.160825555486939,1.462786085374047
1983,,28.92409366376101,,17.51843255177677,,5.680503312520233,,3.559783112891841,,1.217828705304438,,,,11.40566111198425,,11.83792923925653,,2.120720199628392,,2.341954407587403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445,,2445,,25773,,0.3174187134502924,,33208.83063225338,,33208.83063225338,,96053.53276712727,,116353.3319109018,,188642.8724114387,,236432.4689671617,,404426.6721355148,,,26226.08595060073,,75753.73362335273,,98280.94678576758,,140853.2758557157,,194433.9181750734,,,,,,,,,,,,,,,,,,,,,,,,,,3.019329240523887,1.495213945270541
1984,,28.19155521783226,,17.09355010603318,,5.599679933387793,,3.527090554639952,,1.219398451529866,,,,11.09800511179908,,11.49387017264539,,2.072589378747841,,2.307692103110086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484,,2484,,28612,,0.3471964912280702,,33175.79183411767,,33175.79183411767,,93527.7167386837,,113418.4120047634,,185773.8158077593,,234028.0440416354,,404545.0919080026,,,26470.022400277,,73637.021472604,,95329.5610540144,,137519.5875738833,,191398.7820750436,,,,,,,,,,,,,,,,,,,,,,,,,,2.958733640496322,1.510533938522958
1985,,27.56822370946996,,16.7431283101953,,5.509650760274164,,3.476786292298511,,1.189121208710641,,,,10.82509539927467,,11.23347754992113,,2.032864467975653,,2.28766508358787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2507,,2507,,33697,,0.4004163742690058,,33567.96974966257,,33567.96974966257,,92540.92995314179,,112406.5649262709,,184947.7900520885,,233417.3141718358,,399163.8476268097,,,27015.41861594265,,72675.29498001268,,94271.25864481652,,136478.2659323412,,191980.6808080923,,,,,,,,,,,,,,,,,,,,,,,,,,2.993097432879127,1.501731618085249
1986,,26.50663412480189,,15.84553857125214,,4.880946302111555,,3.007815492913959,,1.002427972101505,,,,10.66109555354975,,10.96459226914058,,1.873130809197596,,2.005387520812454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537,,2537,,40303,,0.4732769423558897,,33566.15230225155,,33566.15230225155,,88972.57180531585,,106374.7521987701,,163834.586955788,,201921.5858644436,,336476.499835963,,,27409.88346857774,,71570.39141186158,,92009.79350951569,,125747.5880471324,,168282.8573715637,,,,,,,,,,,,,,,,,,,,,,,,,,3.1994968130107,1.454649442583728
1987,,26.6127074145703,,16.28511371632827,,5.477985174214739,,3.520697148946376,,1.273308968085465,,,,10.32759369824203,,10.80712854211353,,1.957288025268363,,2.247388180860912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2567,,2567,,46980,,0.518893984962406,,35270.24751411586,,35270.24751411586,,93863.67775326408,,114875.9983140842,,193209.8929732109,,248351.7197311614,,449099.2246631779,,,28759.86637643272,,72851.3571924439,,95292.52464930259,,138068.0662152604,,198164.8434981573,,,,,,,,,,,,,,,,,,,,,,,,,,2.72990625281366,1.578066006972065
1988,,26.26152973010275,,16.07623284393462,,5.346159214393129,,3.379318119027316,,1.163592462470974,,,,10.18529688616813,,10.73007362954149,,1.966841095365813,,2.215725656556343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597,,2597,,50108,,0.5436032581453634,,35493.84660474672,,35493.84660474672,,93212.27078462623,,114121.4685089613,,189755.7550802229,,239889.9978907935,,413003.7237338425,,,29080.68836253788,,72303.07306029121,,95212.89686614583,,139621.5122696523,,196611.5664300313,,,,,,,,,,,,,,,,,,,,,,,,,,2.960690810968061,1.510024321226999
1989,,28.33552792523557,,17.96619110776045,,6.587155304392266,,4.332215582854493,,1.62,,,,10.36933681747512,,11.37903580336819,,2.254939721537773,,2.712215582854493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628,,2628,,53114,,0.5828846282372598,,34673.76856073373,,34673.76856073373,,98249.95373258255,,124591.1104776796,,228401.498498107,,300428.4809502017,,561715.0506838864,,,27609.74798608385,,71908.79698748548,,98638.51347257281,,156374.5160460122,,235106.8385167806,,,,,,,,,,,,,,,,,,,,,,,,,,2.558741595763268,1.641543154245737
1990,,31.11795272640573,,20.4102935823128,,8.210068227159862,,5.657550817330542,,,,,,10.70765914409292,,12.20022535515294,,2.552517409829321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2658,,2658,,54657,,0.6107616541353383,,33668.13433420074,,33668.13433420074,,104768.3412597936,,137435.3012259565,,276417.6799649716,,380958.3618409037,,,,,25768.1113424682,,72101.38129363068,,102689.7065412028,,171876.9980890394,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.160837967789611,1.861446668482193
1991,,31.47745269259449,,20.52824768571286,,7.9608226028261,,5.368266413660603,,,,,,10.94920500688163,,12.56742508288676,,2.592556189165498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2688,,2688,,54179,,0.6164638262322473,,32695.96222600891,,32695.96222600891,,102918.5604208052,,134238.1621796445,,260286.7551099601,,351041.2717603988,,,,,24893.45131547599,,71598.95866196588,,102726.0139470656,,169532.2384595214,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.317288968585362,1.759134877652472
1992,,32.48929492201854,,21.3155367130852,,8.404598872756759,,5.709299312861478,,,,,,11.17375820893334,,12.91093784032845,,2.695299559895282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2717,,2717,,54554,,0.6247002506265664,,32141.43634772435,,32141.43634772435,,104425.2604718503,,137022.3932962419,,270135.8796968673,,367010.1609088872,,,,,24109.90033393258,,71828.12764745868,,103744.0216960856,,173261.5984848473,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.261753998536582,1.792547518105612
1993,,32.98964670527749,,21.85879285461974,,8.758578032766627,,5.939524892644809,,,,,,11.13085385065775,,13.10021482185311,,2.819053140121818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748,,2748,,57023,,0.6335701754385965,,32752.05905592527,,32752.05905592527,,108047.8857125359,,143184.0948931486,,286861.4649751023,,389063.340096082,,,,,24385.85609407965,,72911.67653192316,,107264.7523726602,,184659.5898541227,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.274532072557652,1.784601675808175
1994,,32.86060350602087,,22.06120037426286,,9.000594940837034,,6.123432368562436,,,,,,10.799403131758,,13.06060543342583,,2.877162572274599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2785,,2785,,61084,,0.6513101921470342,,33675.52651405888,,33675.52651405888,,110659.8124634982,,148584.5076270909,,303099.7735724618,,412419.6181691414,,,,,25121.71696412118,,72735.11729990543,,109955.6911407483,,193779.9289757822,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.250629230457945,1.799597495121578
1995,,32.62237627150947,,21.97052074836473,,8.978500252198421,,6.107817554469129,,,,,,10.65185552314474,,12.99202049616631,,2.870682697729292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2826,,2826,,65632,,0.6703172932330828,,34646.79428522096,,34646.79428522096,,113026.0759774062,,152241.6225415543,,311076.2512277232,,423232.5966827066,,,,,25937.98520831149,,73810.52941325807,,112532.9653700121,,198919.9057727398,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.251326938498757,1.799151659916889
1996,,32.18183680500949,,21.68534887162003,,8.924831162620865,,6.116143621320623,,,,,,10.49648793338946,,12.76051770899917,,2.808687541300243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2873,,2873,,69888,,0.6874236424394319,,35386.90023648254,,35386.90023648254,,113881.5448445633,,153475.4554226675,,315822.1099791151,,432862.7283193438,,,,,26665.2730578069,,74287.63426645909,,112888.7917835556,,198781.4916388863,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.198781220700945,1.834180568340306
1997,,32.57493371354814,,22.03067894936816,,9.162282856575283,,6.321073718202049,,,,,,10.54425476417999,,12.86839609279287,,2.841209138373234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2913,,2913,,72279,,0.6931258145363408,,35798.06702659089,,35798.06702659089,,116611.9660464352,,157731.1443341572,,327992.0158162666,,452564.4412884381,,,,,26818.74491327486,,75492.78775871308,,115165.9264636299,,203419.5903440952,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.153026171959205,1.867283002172288
1998,,34.38788997596489,,23.58416346212046,,10.21426473614073,,7.229332629449003,,,,,,10.80372651384443,,13.36989872597973,,2.984932106691724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2939,,2939,,73677,,0.695660066833751,,36035.89174657621,,36035.89174657621,,123919.8280567044,,169975.2722909062,,368080.138302438,,521030.8960696307,,,,,26271.00993433974,,77864.3838225026,,120449.0557880232,,215129.3805352453,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.994618438542761,2.005410679360744
