"Country/Area","Year","Unit","GDP, at current prices - National currency"
"Afghanistan","2016","Afghani","1222916881118"
"Afghanistan","2017","Afghani","1285460326469"
"Afghanistan","2018","Afghani","1327690394726"
"Afghanistan","2019","Afghani","1469596303316"
"Afghanistan","2020","Afghani","1520390483504"
"Albania","1970","Lek","11327885280"
"Albania","1971","Lek","11652924299"
"Albania","1972","Lek","11987632242"
"Albania","1973","Lek","12332717304"
"Albania","1974","Lek","12685079084"
"Albania","1975","Lek","13050551845"
"Albania","1976","Lek","13428728389"
"Albania","1977","Lek","13803731983"
"Albania","1978","Lek","14211379629"
"Albania","1979","Lek","14630301363"
"Albania","1980","Lek","14992859359"
"Albania","1981","Lek","15508323363"
"Albania","1982","Lek","15962974197"
"Albania","1983","Lek","16137691397"
"Albania","1984","Lek","15930154391"
"Albania","1985","Lek","16270901195"
"Albania","1986","Lek","16779608180"
"Albania","1987","Lek","16647363669"
"Albania","1988","Lek","16410868012"
"Albania","1989","Lek","18025795498"
"Albania","1990","Lek","16228428506"
"Albania","1991","Lek","15833649034"
"Albania","1992","Lek","48934315111"
"Albania","1993","Lek","120976259938"
"Albania","1994","Lek","177981836522"
"Albania","1995","Lek","221803323120"
"Albania","1996","Lek","334359125203"
"Albania","1997","Lek","331324244713"
"Albania","1998","Lek","384848409222"
"Albania","1999","Lek","443593644360"
"Albania","2000","Lek","501198993038"
"Albania","2001","Lek","563448812305"
"Albania","2002","Lek","610494274849"
"Albania","2003","Lek","677737524616"
"Albania","2004","Lek","737655548337"
"Albania","2005","Lek","804163210239"
"Albania","2006","Lek","872735098858"
"Albania","2007","Lek","965527760136"
"Albania","2008","Lek","1080675931200"
"Albania","2009","Lek","1143936457575"
"Albania","2010","Lek","1239644584736"
"Albania","2011","Lek","1300624080293"
"Albania","2012","Lek","1332810978028"
"Albania","2013","Lek","1350052635938"
"Albania","2014","Lek","1395304632217"
"Albania","2015","Lek","1434306510692"
"Albania","2016","Lek","1472479126621"
"Albania","2017","Lek","1550645485902"
"Albania","2018","Lek","1636731321762"
"Albania","2019","Lek","1691728885023"
"Albania","2020","Lek","1619930140761"
"Algeria","1970","Algerian Dinar","25451140017"
"Algeria","1971","Algerian Dinar","26349801132"
"Algeria","1972","Algerian Dinar","32154094685"
"Algeria","1973","Algerian Dinar","36572335624"
"Algeria","1974","Algerian Dinar","55435761047"
"Algeria","1975","Algerian Dinar","61435207262"
"Algeria","1976","Algerian Dinar","73908029005"
"Algeria","1977","Algerian Dinar","87044351784"
"Algeria","1978","Algerian Dinar","104595700258"
"Algeria","1979","Algerian Dinar","127933975067"
"Algeria","1980","Algerian Dinar","162140696179"
"Algeria","1981","Algerian Dinar","191037413507"
"Algeria","1982","Algerian Dinar","207084161134"
"Algeria","1983","Algerian Dinar","233225104231"
"Algeria","1984","Algerian Dinar","263261247399"
"Algeria","1985","Algerian Dinar","290939716959"
"Algeria","1986","Algerian Dinar","295882949343"
"Algeria","1987","Algerian Dinar","312001235353"
"Algeria","1988","Algerian Dinar","346933118200"
"Algeria","1989","Algerian Dinar","421091681205"
"Algeria","1990","Algerian Dinar","553138464728"
"Algeria","1991","Algerian Dinar","860189483474"
"Algeria","1992","Algerian Dinar","1072272551215"
"Algeria","1993","Algerian Dinar","1187042266617"
"Algeria","1994","Algerian Dinar","1484051272005"
"Algeria","1995","Algerian Dinar","2000475580350"
"Algeria","1996","Algerian Dinar","2564236946110"
"Algeria","1997","Algerian Dinar","2773903273684"
"Algeria","1998","Algerian Dinar","2824110846112"
"Algeria","1999","Algerian Dinar","3230898841811"
"Algeria","2000","Algerian Dinar","4114219268492"
"Algeria","2001","Algerian Dinar","4251206790035"
"Algeria","2002","Algerian Dinar","4527462680292"
"Algeria","2003","Algerian Dinar","5252321100000"
"Algeria","2004","Algerian Dinar","6149116700000"
"Algeria","2005","Algerian Dinar","7561984300000"
"Algeria","2006","Algerian Dinar","8501635800000"
"Algeria","2007","Algerian Dinar","9352886400000"
"Algeria","2008","Algerian Dinar","11043703500000"
"Algeria","2009","Algerian Dinar","9968025300000"
"Algeria","2010","Algerian Dinar","11991564000000"
"Algeria","2011","Algerian Dinar","14588970000000"
"Algeria","2012","Algerian Dinar","16209598100000"
"Algeria","2013","Algerian Dinar","16647919000000"
"Algeria","2014","Algerian Dinar","17228597900000"
"Algeria","2015","Algerian Dinar","16712675374423"
"Algeria","2016","Algerian Dinar","17514634900000"
"Algeria","2017","Algerian Dinar","18876175500000"
"Algeria","2018","Algerian Dinar","20452321000000"
"Algeria","2019","Algerian Dinar","20428344300000"
"Algeria","2020","Algerian Dinar","18723500000000"
"Andorra","1970","Euro","41850727"
"Andorra","1971","Euro","47232853"
"Andorra","1972","Euro","55433355"
"Andorra","1973","Euro","66830986"
"Andorra","1974","Euro","81841103"
"Andorra","1975","Euro","96093711"
"Andorra","1976","Euro","115637737"
"Andorra","1977","Euro","146727393"
"Andorra","1978","Euro","179588282"
"Andorra","1979","Euro","210082754"
"Andorra","1980","Euro","243398784"
"Andorra","1981","Euro","273099186"
"Andorra","1982","Euro","314058830"
"Andorra","1983","Euro","357602227"
"Andorra","1984","Euro","403530235"
"Andorra","1985","Euro","448388488"
"Andorra","1986","Euro","513342318"
"Andorra","1987","Euro","574024785"
"Andorra","1988","Euro","639078187"
"Andorra","1989","Euro","716126129"
"Andorra","1990","Euro","797654790"
"Andorra","1991","Euro","874689967"
"Andorra","1992","Euro","942061598"
"Andorra","1993","Euro","974647021"
"Andorra","1994","Euro","1036590727"
"Andorra","1995","Euro","1117721102"
"Andorra","1996","Euro","1179016835"
"Andorra","1997","Euro","1314578622"
"Andorra","1998","Euro","1376919325"
"Andorra","1999","Euro","1472519439"
"Andorra","2000","Euro","1551086267"
"Andorra","2001","Euro","1728691045"
"Andorra","2002","Euro","1865833178"
"Andorra","2003","Euro","2092489853"
"Andorra","2004","Euro","2331565703"
"Andorra","2005","Euro","2540883518"
"Andorra","2006","Euro","2755127026"
"Andorra","2007","Euro","2887768175"
"Andorra","2008","Euro","2789261182"
"Andorra","2009","Euro","2644838594"
"Andorra","2010","Euro","2602311959"
"Andorra","2011","Euro","2607221275"
"Andorra","2012","Euro","2481846245"
"Andorra","2013","Euro","2404538328"
"Andorra","2014","Euro","2462690399"
"Andorra","2015","Euro","2514508416"
"Andorra","2016","Euro","2616861833"
"Andorra","2017","Euro","2655758357"
"Andorra","2018","Euro","2725269627"
"Andorra","2019","Euro","2818420000"
"Andorra","2020","Euro","2507800000"
"Angola","1970","Kwanza","108.9752808"
"Angola","1971","Kwanza","112.9743737"
"Angola","1972","Kwanza","110.9748272"
"Angola","1973","Kwanza","122.9721059"
"Angola","1974","Kwanza","142.9675702"
"Angola","1975","Kwanza","105.9759612"
"Angola","1976","Kwanza","116.9734666"
"Angola","1977","Kwanza","129.9705184"
"Angola","1978","Kwanza","144.9671167"
"Angola","1979","Kwanza","160.9634882"
"Angola","1980","Kwanza","213.9514687"
"Angola","1981","Kwanza","200.2416856"
"Angola","1982","Kwanza","200.2416856"
"Angola","1983","Kwanza","208.6784707"
"Angola","1984","Kwanza","221.2018116"
"Angola","1985","Kwanza","272.5238112"
"Angola","1986","Kwanza","255.754442"
"Angola","1987","Kwanza","294.5061603"
"Angola","1988","Kwanza","317.9532918"
"Angola","1989","Kwanza","369.998175"
"Angola","1990","Kwanza","408.7352986"
"Angola","1991","Kwanza","891.6531054"
"Angola","1992","Kwanza","4672.840985"
"Angola","1993","Kwanza","35827.4807452"
"Angola","1994","Kwanza","824920.5022653"
"Angola","1995","Kwanza","18267655.41487"
"Angola","1996","Kwanza","1117153553.57238"
"Angola","1997","Kwanza","2342344984.15281"
"Angola","1998","Kwanza","3385269714.29636"
"Angola","1999","Kwanza","22959670120.984"
"Angola","2000","Kwanza","122568482748.65"
"Angola","2001","Kwanza","263560593167.74"
"Angola","2002","Kwanza","665385000000"
"Angola","2003","Kwanza","1328940000000"
"Angola","2004","Kwanza","1967570000000"
"Angola","2005","Kwanza","3222350000000"
"Angola","2006","Kwanza","4209762000000"
"Angola","2007","Kwanza","5006335000000"
"Angola","2008","Kwanza","6643353000000"
"Angola","2009","Kwanza","5577340741696"
"Angola","2010","Kwanza","7701651475206"
"Angola","2011","Kwanza","10500941840083"
"Angola","2012","Kwanza","12224949831633"
"Angola","2013","Kwanza","13195003553711"
"Angola","2014","Kwanza","14323859000000"
"Angola","2015","Kwanza","13950290849439"
"Angola","2016","Kwanza","16549565423603"
"Angola","2017","Kwanza","20262296106323"
"Angola","2018","Kwanza","25627742117294"
"Angola","2019","Kwanza","32621697999992"
"Angola","2020","Kwanza","36029520999992"
"Anguilla","1970","East Caribbean Dollar","7817934"
"Anguilla","1971","East Caribbean Dollar","9016203"
"Anguilla","1972","East Caribbean Dollar","10410296"
"Anguilla","1973","East Caribbean Dollar","12008081"
"Anguilla","1974","East Caribbean Dollar","13858682"
"Anguilla","1975","East Caribbean Dollar","15994536"
"Anguilla","1976","East Caribbean Dollar","18456486"
"Anguilla","1977","East Caribbean Dollar","21301529"
"Anguilla","1978","East Caribbean Dollar","24578654"
"Anguilla","1979","East Caribbean Dollar","28361282"
"Anguilla","1980","East Caribbean Dollar","32730828"
"Anguilla","1981","East Caribbean Dollar","37768857"
"Anguilla","1982","East Caribbean Dollar","43584662"
"Anguilla","1983","East Caribbean Dollar","50298721"
"Anguilla","1984","East Caribbean Dollar","58390174"
"Anguilla","1985","East Caribbean Dollar","73241416"
"Anguilla","1986","East Caribbean Dollar","94674238"
"Anguilla","1987","East Caribbean Dollar","118083893"
"Anguilla","1988","East Caribbean Dollar","147805812"
"Anguilla","1989","East Caribbean Dollar","183939947"
"Anguilla","1990","East Caribbean Dollar","204124753"
"Anguilla","1991","East Caribbean Dollar","209844245"
"Anguilla","1992","East Caribbean Dollar","228016123"
"Anguilla","1993","East Caribbean Dollar","248672926"
"Anguilla","1994","East Caribbean Dollar","277478616"
"Anguilla","1995","East Caribbean Dollar","280088481"
"Anguilla","1996","East Caribbean Dollar","295761553"
"Anguilla","1997","East Caribbean Dollar","331216845"
"Anguilla","1998","East Caribbean Dollar","374321263"
"Anguilla","1999","East Caribbean Dollar","397712871"
"Anguilla","2000","East Caribbean Dollar","405642017"
"Anguilla","2001","East Caribbean Dollar","418305855"
"Anguilla","2002","East Caribbean Dollar","425598945"
"Anguilla","2003","East Caribbean Dollar","460906481"
"Anguilla","2004","East Caribbean Dollar","542983507"
"Anguilla","2005","East Caribbean Dollar","618284741"
"Anguilla","2006","East Caribbean Dollar","764380000"
"Anguilla","2007","East Caribbean Dollar","957450000"
"Anguilla","2008","East Caribbean Dollar","960820000"
"Anguilla","2009","East Caribbean Dollar","767860000"
"Anguilla","2010","East Caribbean Dollar","727700000"
"Anguilla","2011","East Caribbean Dollar","791710000"
"Anguilla","2012","East Caribbean Dollar","768180000"
"Anguilla","2013","East Caribbean Dollar","772700000"
"Anguilla","2014","East Caribbean Dollar","852320000"
"Anguilla","2015","East Caribbean Dollar","892440000"
"Anguilla","2016","East Caribbean Dollar","860630000"
"Anguilla","2017","East Caribbean Dollar","758850000"
"Anguilla","2018","East Caribbean Dollar","870630000"
"Anguilla","2019","East Caribbean Dollar","1017170000"
"Anguilla","2020","East Caribbean Dollar","697790000"
"Antigua and Barbuda","1970","East Caribbean Dollar","67731646"
"Antigua and Barbuda","1971","East Caribbean Dollar","81277975"
"Antigua and Barbuda","1972","East Caribbean Dollar","108370634"
"Antigua and Barbuda","1973","East Caribbean Dollar","153525064"
"Antigua and Barbuda","1974","East Caribbean Dollar","171505477"
"Antigua and Barbuda","1975","East Caribbean Dollar","185336564"
"Antigua and Barbuda","1976","East Caribbean Dollar","185643922"
"Antigua and Barbuda","1977","East Caribbean Dollar","218223815"
"Antigua and Barbuda","1978","East Caribbean Dollar","247059661"
"Antigua and Barbuda","1979","East Caribbean Dollar","304242609"
"Antigua and Barbuda","1980","East Caribbean Dollar","363013973"
"Antigua and Barbuda","1981","East Caribbean Dollar","410666430"
"Antigua and Barbuda","1982","East Caribbean Dollar","455019870"
"Antigua and Barbuda","1983","East Caribbean Dollar","505604786"
"Antigua and Barbuda","1984","East Caribbean Dollar","572196040"
"Antigua and Barbuda","1985","East Caribbean Dollar","660902921"
"Antigua and Barbuda","1986","East Caribbean Dollar","784190000"
"Antigua and Barbuda","1987","East Caribbean Dollar","910370000"
"Antigua and Barbuda","1988","East Caribbean Dollar","1076320000"
"Antigua and Barbuda","1989","East Caribbean Dollar","1184750000"
"Antigua and Barbuda","1990","East Caribbean Dollar","1240570000"
"Antigua and Barbuda","1991","East Caribbean Dollar","1300610000"
"Antigua and Barbuda","1992","East Caribbean Dollar","1348060000"
"Antigua and Barbuda","1993","East Caribbean Dollar","1444970000"
"Antigua and Barbuda","1994","East Caribbean Dollar","1591460000"
"Antigua and Barbuda","1995","East Caribbean Dollar","1558660000"
"Antigua and Barbuda","1996","East Caribbean Dollar","1711070000"
"Antigua and Barbuda","1997","East Caribbean Dollar","1837670000"
"Antigua and Barbuda","1998","East Caribbean Dollar","1965220000"
"Antigua and Barbuda","1999","East Caribbean Dollar","2068740000"
"Antigua and Barbuda","2000","East Caribbean Dollar","2116360000"
"Antigua and Barbuda","2001","East Caribbean Dollar","2089170000"
"Antigua and Barbuda","2002","East Caribbean Dollar","2166830000"
"Antigua and Barbuda","2003","East Caribbean Dollar","2267990000"
"Antigua and Barbuda","2004","East Caribbean Dollar","2425560000"
"Antigua and Barbuda","2005","East Caribbean Dollar","2740450000"
"Antigua and Barbuda","2006","East Caribbean Dollar","3102370000"
"Antigua and Barbuda","2007","East Caribbean Dollar","3516450000"
"Antigua and Barbuda","2008","East Caribbean Dollar","3699190000"
"Antigua and Barbuda","2009","East Caribbean Dollar","3316490000"
"Antigua and Barbuda","2010","East Caribbean Dollar","3101490000"
"Antigua and Barbuda","2011","East Caribbean Dollar","3071620000"
"Antigua and Barbuda","2012","East Caribbean Dollar","3239860000"
"Antigua and Barbuda","2013","East Caribbean Dollar","3189910000"
"Antigua and Barbuda","2014","East Caribbean Dollar","3374280000"
"Antigua and Barbuda","2015","East Caribbean Dollar","3609070000"
"Antigua and Barbuda","2016","East Caribbean Dollar","3878780000"
"Antigua and Barbuda","2017","East Caribbean Dollar","3963540000"
"Antigua and Barbuda","2018","East Caribbean Dollar","4336050000"
"Antigua and Barbuda","2019","East Caribbean Dollar","4556340000"
"Antigua and Barbuda","2020","East Caribbean Dollar","3699950000"
"Argentina","1970","Argentine Peso","1.28858"
"Argentina","1971","Argentine Peso","1.83834"
"Argentina","1972","Argentine Peso","3.03844"
"Argentina","1973","Argentine Peso","5.21117"
"Argentina","1974","Argentine Peso","7.14408"
"Argentina","1975","Argentine Peso","21.00299"
"Argentina","1976","Argentine Peso","111.4236"
"Argentina","1977","Argentine Peso","307"
"Argentina","1978","Argentine Peso","769"
"Argentina","1979","Argentine Peso","2093"
"Argentina","1980","Argentine Peso","4161"
"Argentina","1981","Argentine Peso","8100"
"Argentina","1982","Argentine Peso","23681"
"Argentina","1983","Argentine Peso","118666"
"Argentina","1984","Argentine Peso","857127"
"Argentina","1985","Argentine Peso","5749076"
"Argentina","1986","Argentine Peso","10819859"
"Argentina","1987","Argentine Peso","25285424"
"Argentina","1988","Argentine Peso","120358892"
"Argentina","1989","Argentine Peso","3515600860"
"Argentina","1990","Argentine Peso","74691686356"
"Argentina","1991","Argentine Peso","196040796079"
"Argentina","1992","Argentine Peso","245609213620"
"Argentina","1993","Argentine Peso","256302604100"
"Argentina","1994","Argentine Peso","278990052640"
"Argentina","1995","Argentine Peso","279631500015"
"Argentina","1996","Argentine Peso","294931195727"
"Argentina","1997","Argentine Peso","317373812723"
"Argentina","1998","Argentine Peso","323973037186"
"Argentina","1999","Argentine Peso","307256456939"
"Argentina","2000","Argentine Peso","307994159350"
"Argentina","2001","Argentine Peso","291189050913"
"Argentina","2002","Argentine Peso","338745920264"
"Argentina","2003","Argentine Peso","407376367830"
"Argentina","2004","Argentine Peso","485115194725"
"Argentina","2005","Argentine Peso","582538172936"
"Argentina","2006","Argentine Peso","715904271734"
"Argentina","2007","Argentine Peso","896980174072"
"Argentina","2008","Argentine Peso","1149646090584"
"Argentina","2009","Argentine Peso","1247929268926"
"Argentina","2010","Argentine Peso","1661720925944"
"Argentina","2011","Argentine Peso","2179024103632"
"Argentina","2012","Argentine Peso","2637913848214"
"Argentina","2013","Argentine Peso","3348308488228"
"Argentina","2014","Argentine Peso","4579086425412"
"Argentina","2015","Argentine Peso","5954510895692"
"Argentina","2016","Argentine Peso","8228159556536"
"Argentina","2017","Argentine Peso","10660228494809"
"Argentina","2018","Argentine Peso","14542722148095"
"Argentina","2019","Argentine Peso","21447249859799"
"Argentina","2020","Argentine Peso","27021238150142"
"Armenia","1970","...","..."
"Armenia","1971","...","..."
"Armenia","1972","...","..."
"Armenia","1973","...","..."
"Armenia","1974","...","..."
"Armenia","1975","...","..."
"Armenia","1976","...","..."
"Armenia","1977","...","..."
"Armenia","1978","...","..."
"Armenia","1979","...","..."
"Armenia","1980","...","..."
"Armenia","1981","...","..."
"Armenia","1982","...","..."
"Armenia","1983","...","..."
"Armenia","1984","...","..."
"Armenia","1985","...","..."
"Armenia","1986","...","..."
"Armenia","1987","...","..."
"Armenia","1988","...","..."
"Armenia","1989","...","..."
"Armenia","1990","Armenian Dram","50305000"
"Armenia","1991","Armenian Dram","79880000"
"Armenia","1992","Armenian Dram","312740000"
"Armenia","1993","Armenian Dram","4265315000"
"Armenia","1994","Armenian Dram","199490350350"
"Armenia","1995","Armenian Dram","556945620038"
"Armenia","1996","Armenian Dram","705128244538"
"Armenia","1997","Armenian Dram","857762117120"
"Armenia","1998","Armenian Dram","1018844189822"
"Armenia","1999","Armenian Dram","1053032633100"
"Armenia","2000","Armenian Dram","1099842188272"
"Armenia","2001","Armenian Dram","1253981849616"
"Armenia","2002","Armenian Dram","1452970981327"
"Armenia","2003","Armenian Dram","1732556070155"
"Armenia","2004","Armenian Dram","2034675735698"
"Armenia","2005","Armenian Dram","2391859067613"
"Armenia","2006","Armenian Dram","2832621140758"
"Armenia","2007","Armenian Dram","3358466677470"
"Armenia","2008","Armenian Dram","3805238682020"
"Armenia","2009","Armenian Dram","3350328059841"
"Armenia","2010","Armenian Dram","3690038270155"
"Armenia","2011","Armenian Dram","4028886704337"
"Armenia","2012","Armenian Dram","4266460500000"
"Armenia","2013","Armenian Dram","4555638200000"
"Armenia","2014","Armenian Dram","4828626300000"
"Armenia","2015","Armenian Dram","5043633200000"
"Armenia","2016","Armenian Dram","5067293500000"
"Armenia","2017","Armenian Dram","5564493300000"
"Armenia","2018","Armenian Dram","6017035200000"
"Armenia","2019","Armenian Dram","6543321800000"
"Armenia","2020","Armenian Dram","6181664100000"
"Aruba","1970","Aruban Guilder","353746880"
"Aruba","1971","Aruban Guilder","372604474"
"Aruba","1972","Aruban Guilder","392467331"
"Aruba","1973","Aruban Guilder","413389041"
"Aruba","1974","Aruban Guilder","435426048"
"Aruba","1975","Aruban Guilder","458637808"
"Aruba","1976","Aruban Guilder","483086944"
"Aruba","1977","Aruban Guilder","508839417"
"Aruba","1978","Aruban Guilder","535964707"
"Aruba","1979","Aruban Guilder","564535997"
"Aruba","1980","Aruban Guilder","594630370"
"Aruba","1981","Aruban Guilder","626329019"
"Aruba","1982","Aruban Guilder","659717464"
"Aruba","1983","Aruban Guilder","694885785"
"Aruba","1984","Aruban Guilder","731928864"
"Aruba","1985","Aruban Guilder","770946641"
"Aruba","1986","Aruban Guilder","812044385"
"Aruba","1987","Aruban Guilder","976548860"
"Aruba","1988","Aruban Guilder","1194491095"
"Aruba","1989","Aruban Guilder","1392525145"
"Aruba","1990","Aruban Guilder","1531882439"
"Aruba","1991","Aruban Guilder","1746681277"
"Aruba","1992","Aruban Guilder","1919568146"
"Aruba","1993","Aruban Guilder","2168944357"
"Aruba","1994","Aruban Guilder","2495053851"
"Aruba","1995","Aruban Guilder","2477239523"
"Aruba","1996","Aruban Guilder","2588317099"
"Aruba","1997","Aruban Guilder","2873346350"
"Aruba","1998","Aruban Guilder","3123794847"
"Aruba","1999","Aruban Guilder","3231529616"
"Aruba","2000","Aruban Guilder","3353480000"
"Aruba","2001","Aruban Guilder","3394658000"
"Aruba","2002","Aruban Guilder","3511700000"
"Aruba","2003","Aruban Guilder","3658960000"
"Aruba","2004","Aruban Guilder","4036147000"
"Aruba","2005","Aruban Guilder","4224430000"
"Aruba","2006","Aruban Guilder","4420910000"
"Aruba","2007","Aruban Guilder","4792980000"
"Aruba","2008","Aruban Guilder","5089010000"
"Aruba","2009","Aruban Guilder","4571290000"
"Aruba","2010","Aruban Guilder","4391940000"
"Aruba","2011","Aruban Guilder","4721770000"
"Aruba","2012","Aruban Guilder","4681220000"
"Aruba","2013","Aruban Guilder","4882850000"
"Aruba","2014","Aruban Guilder","4995620000"
"Aruba","2015","Aruban Guilder","5303600000"
"Aruba","2016","Aruban Guilder","5340710000"
"Aruba","2017","Aruban Guilder","5535450000"
"Aruba","2018","Aruban Guilder","5731920000"
"Aruba","2019","Aruban Guilder","5925266055"
"Aruba","2020","Aruban Guilder","4469256066"
"Australia","1970","Australian Dollar","40314000000"
"Australia","1971","Australian Dollar","44484000000"
"Australia","1972","Australian Dollar","49747000000"
"Australia","1973","Australian Dollar","60272000000"
"Australia","1974","Australian Dollar","71159000000"
"Australia","1975","Australian Dollar","83234000000"
"Australia","1976","Australian Dollar","96074000000"
"Australia","1977","Australian Dollar","104919000000"
"Australia","1978","Australian Dollar","118587000000"
"Australia","1979","Australian Dollar","134424000000"
"Australia","1980","Australian Dollar","152142000000"
"Australia","1981","Australian Dollar","175614000000"
"Australia","1982","Australian Dollar","189157000000"
"Australia","1983","Australian Dollar","213378000000"
"Australia","1984","Australian Dollar","234973000000"
"Australia","1985","Australian Dollar","260240000000"
"Australia","1986","Australian Dollar","285710000000"
"Australia","1987","Australian Dollar","323889000000"
"Australia","1988","Australian Dollar","367536000000"
"Australia","1989","Australian Dollar","403860000000"
"Australia","1990","Australian Dollar","414485000000"
"Australia","1991","Australian Dollar","422447000000"
"Australia","1992","Australian Dollar","443397000000"
"Australia","1993","Australian Dollar","465760000000"
"Australia","1994","Australian Dollar","494567000000"
"Australia","1995","Australian Dollar","527599000000"
"Australia","1996","Australian Dollar","555291000000"
"Australia","1997","Australian Dollar","588097000000"
"Australia","1998","Australian Dollar","620141000000"
"Australia","1999","Australian Dollar","661159000000"
"Australia","2000","Australian Dollar","705066000000"
"Australia","2001","Australian Dollar","754253000000"
"Australia","2002","Australian Dollar","800960000000"
"Australia","2003","Australian Dollar","861039000000"
"Australia","2004","Australian Dollar","922371000000"
"Australia","2005","Australian Dollar","996430000000"
"Australia","2006","Australian Dollar","1086593000000"
"Australia","2007","Australian Dollar","1177313000000"
"Australia","2008","Australian Dollar","1260145000000"
"Australia","2009","Australian Dollar","1301211000000"
"Australia","2010","Australian Dollar","1416622000000"
"Australia","2011","Australian Dollar","1499458000000"
"Australia","2012","Australian Dollar","1536307000000"
"Australia","2013","Australian Dollar","1598530000000"
"Australia","2014","Australian Dollar","1624601000000"
"Australia","2015","Australian Dollar","1660714000000"
"Australia","2016","Australian Dollar","1762371000000"
"Australia","2017","Australian Dollar","1848560000000"
"Australia","2018","Australian Dollar","1952680000000"
"Australia","2019","Australian Dollar","1985438000000"
"Australia","2020","Australian Dollar","2068427000000"
"Austria","1970","Euro","29047294000"
"Austria","1971","Euro","32427439000"
"Austria","1972","Euro","37057943000"
"Austria","1973","Euro","41997559000"
"Austria","1974","Euro","47801145000"
"Austria","1975","Euro","50702938000"
"Austria","1976","Euro","56006921000"
"Austria","1977","Euro","61911611000"
"Austria","1978","Euro","65483749000"
"Austria","1979","Euro","71830084000"
"Austria","1980","Euro","77151790000"
"Austria","1981","Euro","82215016000"
"Austria","1982","Euro","88359974000"
"Austria","1983","Euro","94146775000"
"Austria","1984","Euro","98857490000"
"Austria","1985","Euro","104329954000"
"Austria","1986","Euro","109880625000"
"Austria","1987","Euro","114085965000"
"Austria","1988","Euro","119645441000"
"Austria","1989","Euro","127981232000"
"Austria","1990","Euro","137548696000"
"Austria","1991","Euro","147464360000"
"Austria","1992","Euro","155789392000"
"Austria","1993","Euro","160927978000"
"Austria","1994","Euro","168954605000"
"Austria","1995","Euro","176608750000"
"Austria","1996","Euro","182540880000"
"Austria","1997","Euro","188723760000"
"Austria","1998","Euro","196346610000"
"Austria","1999","Euro","203850580000"
"Austria","2000","Euro","213606480000"
"Austria","2001","Euro","220525080000"
"Austria","2002","Euro","226735220000"
"Austria","2003","Euro","231862460000"
"Austria","2004","Euro","242348260000"
"Austria","2005","Euro","254075030000"
"Austria","2006","Euro","267824450000"
"Austria","2007","Euro","283977970000"
"Austria","2008","Euro","293761910000"
"Austria","2009","Euro","288044020000"
"Austria","2010","Euro","295896640000"
"Austria","2011","Euro","310128660000"
"Austria","2012","Euro","318653040000"
"Austria","2013","Euro","323910200000"
"Austria","2014","Euro","333146070000"
"Austria","2015","Euro","344269230000"
"Austria","2016","Euro","357607950000"
"Austria","2017","Euro","369361870000"
"Austria","2018","Euro","385423950000"
"Austria","2019","Euro","397518540000"
"Austria","2020","Euro","379320560000"
"Azerbaijan","1970","...","..."
"Azerbaijan","1971","...","..."
"Azerbaijan","1972","...","..."
"Azerbaijan","1973","...","..."
"Azerbaijan","1974","...","..."
"Azerbaijan","1975","...","..."
"Azerbaijan","1976","...","..."
"Azerbaijan","1977","...","..."
"Azerbaijan","1978","...","..."
"Azerbaijan","1979","...","..."
"Azerbaijan","1980","...","..."
"Azerbaijan","1981","...","..."
"Azerbaijan","1982","...","..."
"Azerbaijan","1983","...","..."
