"TAB","Table","LOCATION","Country","CAT","Categories","TIME","Time","Value","Flag Codes","Flags"
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","CYP","Cyprus","A0","Gross Domestic Product  (1)","2011","2011",0.673,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","EST","Estonia","A0","Gross Domestic Product  (1)","2011","2011",0.524,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","ISR","Israel","A0","Gross Domestic Product  (1)","2011","2011",3.94,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","LVA","Latvia","A0","Gross Domestic Product  (1)","2011","2011",0.347,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","LTU","Lithuania","A0","Gross Domestic Product  (1)","2011","2011",1.57,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","MKD","Former Yugoslav Republic of Macedonia","A0","Gross Domestic Product  (1)","2011","2011",18.7,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","MLT","Malta","A0","Gross Domestic Product  (1)","2011","2011",0.558,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","ROU","Romania","A0","Gross Domestic Product  (1)","2011","2011",1.61,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","RUS","Russia","A0","Gross Domestic Product  (1)","2011","2011",17.3,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","SVN","Slovenia","A0","Gross Domestic Product  (1)","2011","2011",0.625,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","SRB","Serbia","A0","Gross Domestic Product  (1)","2011","2011",37.3,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","MNE","Montenegro","A0","Gross Domestic Product  (1)","2011","2011",0.369,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","EA17","Euro area (17 countries)","A0","Gross Domestic Product  (1)","2011","2011",0.781,,
"TAB1_12","Table 1.12: Purchasing power parities in national currencies per US dollar (United States=1.00) ","EU28","European Union (28 countries)","A0","Gross Domestic Product  (1)","2011","2011",0.752,,
