Country or area;Currency;Year;Gross National Income
Algeria;Algerian Dinar;1972;32281098798
Algeria;Algerian Dinar;1973;36566491152
Algeria;Algerian Dinar;1974;55050967418
Algeria;Algerian Dinar;1975;60729657279
Algeria;Algerian Dinar;1976;72594846759
Algeria;Algerian Dinar;1977;85458695506
Algeria;Algerian Dinar;1978;1.02145E+11
Algeria;Algerian Dinar;1979;1.23606E+11
Algeria;Algerian Dinar;1980;1.57466E+11
Algeria;Algerian Dinar;1981;1.85404E+11
Algeria;Algerian Dinar;1982;2.01024E+11
Algeria;Algerian Dinar;1983;2.27315E+11
Algeria;Algerian Dinar;1984;2.56545E+11
Algeria;Algerian Dinar;1985;2.84362E+11
Algeria;Algerian Dinar;1986;2.89271E+11
Algeria;Algerian Dinar;1987;3.04648E+11
Algeria;Algerian Dinar;1988;3.35842E+11
Algeria;Algerian Dinar;1989;4.07909E+11
Algeria;Algerian Dinar;1990;5.34585E+11
Algeria;Algerian Dinar;1991;8.19493E+11
Algeria;Algerian Dinar;1992;1.02547E+12
Algeria;Algerian Dinar;1993;1.14678E+12
Algeria;Algerian Dinar;1994;1.42655E+12
Algeria;Algerian Dinar;1995;1.89895E+12
Algeria;Algerian Dinar;1996;2.44552E+12
Algeria;Algerian Dinar;1997;2.65023E+12
Algeria;Algerian Dinar;1998;2.70938E+12
Algeria;Algerian Dinar;1999;3.08331E+12
Algeria;Algerian Dinar;2000;3.93904E+12
Algeria;Algerian Dinar;2001;4.12795E+12
Algeria;Algerian Dinar;2002;4.35282E+12
Algeria;Algerian Dinar;2003;5.06234E+12
Algeria;Algerian Dinar;2004;5.89586E+12
Algeria;Algerian Dinar;2005;7.22586E+12
Algeria;Algerian Dinar;2006;8.18036E+12
Algeria;Algerian Dinar;2007;9.22938E+12
Algeria;Algerian Dinar;2008;1.09601E+13
Algeria;Algerian Dinar;2009;9.87983E+12
Algeria;Algerian Dinar;2010;1.19759E+13
Algeria;Algerian Dinar;2011;1.43889E+13
Algeria;Algerian Dinar;2012;1.5936E+13
Algeria;Algerian Dinar;2013;1.62585E+13
Algeria;Algerian Dinar;2014;1.68068E+13
Andorra;Euro;1970;40896208
Andorra;Euro;1971;46155580
Andorra;Euro;1972;54169047
Andorra;Euro;1973;65306724
Andorra;Euro;1974;79974495
Andorra;Euro;1975;93902034
Andorra;Euro;1976;113000305
Andorra;Euro;1977;143380878
Andorra;Euro;1978;175492286
Andorra;Euro;1979;205291249
Andorra;Euro;1980;237847417
Andorra;Euro;1981;266870420
Andorra;Euro;1982;306895868
Andorra;Euro;1983;349446141
Andorra;Euro;1984;394326637
Andorra;Euro;1985;438161775
Andorra;Euro;1986;501634158
Andorra;Euro;1987;560932597
Andorra;Euro;1988;624502280
Andorra;Euro;1989;699792936
Andorra;Euro;1990;779462115
Andorra;Euro;1991;854740296
Andorra;Euro;1992;920575335
Andorra;Euro;1993;952417559
Andorra;Euro;1994;1012948472
Andorra;Euro;1995;1092228449
Andorra;Euro;1996;1152126167
Andorra;Euro;1997;1284596101
Andorra;Euro;1998;1345514955
Andorra;Euro;1999;1438934650
Andorra;Euro;2000;1521420000
Andorra;Euro;2001;1658390000
Andorra;Euro;2002;1825000000
Andorra;Euro;2003;2103302500
Andorra;Euro;2004;2349176700
Andorra;Euro;2005;2611887000
Andorra;Euro;2006;2819053800
Andorra;Euro;2007;2930434500
Andorra;Euro;2008;2731623300
Andorra;Euro;2009;2627331900
Andorra;Euro;2010;2526616400
Andorra;Euro;2011;2465397600
Andorra;Euro;2012;2448648000
Andorra;Euro;2013;2447091500
Andorra;Euro;2014;2470554603
Angola;Kwanza;1970;103
Angola;Kwanza;1971;106
Angola;Kwanza;1972;105
Angola;Kwanza;1973;116
Angola;Kwanza;1974;135
Angola;Kwanza;1975;100
Angola;Kwanza;1976;110
Angola;Kwanza;1977;123
Angola;Kwanza;1978;136
Angola;Kwanza;1979;151
Angola;Kwanza;1980;202
Angola;Kwanza;1981;189
Angola;Kwanza;1982;190
Angola;Kwanza;1983;196
Angola;Kwanza;1984;206
Angola;Kwanza;1985;261
Angola;Kwanza;1986;243
Angola;Kwanza;1987;283
Angola;Kwanza;1988;283
Angola;Kwanza;1989;331
Angola;Kwanza;1990;358
Angola;Kwanza;1991;780
Angola;Kwanza;1992;2876
Angola;Kwanza;1993;21976
Angola;Kwanza;1994;394903
Angola;Kwanza;1995;13366864
Angola;Kwanza;1996;873107293
Angola;Kwanza;1997;1957132943
Angola;Kwanza;1998;2747190437
Angola;Kwanza;1999;17598746612
Angola;Kwanza;2000;1.00003E+11
Angola;Kwanza;2001;2.1752E+11
Angola;Kwanza;2002;5.78352E+11
Angola;Kwanza;2003;1.19969E+12
Angola;Kwanza;2004;1.75986E+12
Angola;Kwanza;2005;2.87014E+12
Angola;Kwanza;2006;3.71223E+12
Angola;Kwanza;2007;4.33548E+12
Angola;Kwanza;2008;5.55075E+12
Angola;Kwanza;2009;5.19193E+12
Angola;Kwanza;2010;6.9055E+12
Angola;Kwanza;2011;9.65985E+12
Angola;Kwanza;2012;1.10549E+13
Angola;Kwanza;2013;1.2872E+13
Angola;Kwanza;2014;1.30248E+13
Anguilla;East Caribbean Dollar;1970;7141790
Anguilla;East Caribbean Dollar;1971;8236450
Anguilla;East Caribbean Dollar;1972;9510063
Anguilla;East Caribbean Dollar;1973;10969713
Anguilla;East Caribbean Dollar;1974;12660009
Anguilla;East Caribbean Dollar;1975;14610876
Anguilla;East Caribbean Dollar;1976;16860568
Anguilla;East Caribbean Dollar;1977;19460364
Anguilla;East Caribbean Dollar;1978;22453618
Anguilla;East Caribbean Dollar;1979;25905383
Anguilla;East Caribbean Dollar;1980;29896768
Anguilla;East Caribbean Dollar;1981;34510402
Anguilla;East Caribbean Dollar;1982;39825270
Anguilla;East Caribbean Dollar;1983;45943647
Anguilla;East Caribbean Dollar;1984;53294625
Anguilla;East Caribbean Dollar;1985;66383411
Anguilla;East Caribbean Dollar;1986;86654642
Anguilla;East Caribbean Dollar;1987;107909600
Anguilla;East Caribbean Dollar;1988;134764820
Anguilla;East Caribbean Dollar;1989;167259832
Anguilla;East Caribbean Dollar;1990;187184428
Anguilla;East Caribbean Dollar;1991;194006932
Anguilla;East Caribbean Dollar;1992;206711886
Anguilla;East Caribbean Dollar;1993;224159833
Anguilla;East Caribbean Dollar;1994;248914554
Anguilla;East Caribbean Dollar;1995;258372053
Anguilla;East Caribbean Dollar;1996;279594455
Anguilla;East Caribbean Dollar;1997;325229739
Anguilla;East Caribbean Dollar;1998;369170080
Anguilla;East Caribbean Dollar;1999;388199025
Anguilla;East Caribbean Dollar;2000;380074691
Anguilla;East Caribbean Dollar;2001;398020552
Anguilla;East Caribbean Dollar;2002;407805561
Anguilla;East Caribbean Dollar;2003;442341165
Anguilla;East Caribbean Dollar;2004;545259132
Anguilla;East Caribbean Dollar;2005;629336483
Anguilla;East Caribbean Dollar;2006;788583503
Anguilla;East Caribbean Dollar;2007;963783044
Anguilla;East Caribbean Dollar;2008;934240042
Anguilla;East Caribbean Dollar;2009;745283372
Anguilla;East Caribbean Dollar;2010;731026902
Anguilla;East Caribbean Dollar;2011;797631306
Anguilla;East Caribbean Dollar;2012;764743441
Anguilla;East Caribbean Dollar;2013;760727582
Anguilla;East Caribbean Dollar;2014;827208239
Antigua and Barbuda;East Caribbean Dollar;1970;67119505
Antigua and Barbuda;East Caribbean Dollar;1971;80517209
Antigua and Barbuda;East Caribbean Dollar;1972;107470706
Antigua and Barbuda;East Caribbean Dollar;1973;152325894
Antigua and Barbuda;East Caribbean Dollar;1974;169831306
Antigua and Barbuda;East Caribbean Dollar;1975;183492107
Antigua and Barbuda;East Caribbean Dollar;1976;183607107
Antigua and Barbuda;East Caribbean Dollar;1977;217563750
Antigua and Barbuda;East Caribbean Dollar;1978;245739212
Antigua and Barbuda;East Caribbean Dollar;1979;298305263
Antigua and Barbuda;East Caribbean Dollar;1980;359055847
Antigua and Barbuda;East Caribbean Dollar;1981;404066997
Antigua and Barbuda;East Caribbean Dollar;1982;442815345
Antigua and Barbuda;East Caribbean Dollar;1983;502305488
Antigua and Barbuda;East Caribbean Dollar;1984;570876349
Antigua and Barbuda;East Caribbean Dollar;1985;652062397
Antigua and Barbuda;East Caribbean Dollar;1986;669380013
Antigua and Barbuda;East Caribbean Dollar;1987;783257246
Antigua and Barbuda;East Caribbean Dollar;1988;981621283
Antigua and Barbuda;East Caribbean Dollar;1989;1046409520
Antigua and Barbuda;East Caribbean Dollar;1990;1097046647
Antigua and Barbuda;East Caribbean Dollar;1991;1198240513
Antigua and Barbuda;East Caribbean Dollar;1992;1253577246
Antigua and Barbuda;East Caribbean Dollar;1993;1372485207
Antigua and Barbuda;East Caribbean Dollar;1994;1507125999
Antigua and Barbuda;East Caribbean Dollar;1995;1474444748
Antigua and Barbuda;East Caribbean Dollar;1996;1574784972
Antigua and Barbuda;East Caribbean Dollar;1997;1767449022
Antigua and Barbuda;East Caribbean Dollar;1998;1898544154
Antigua and Barbuda;East Caribbean Dollar;1999;1994330981
Antigua and Barbuda;East Caribbean Dollar;2000;1996160000
Antigua and Barbuda;East Caribbean Dollar;2001;2022240000
Antigua and Barbuda;East Caribbean Dollar;2002;2054920000
Antigua and Barbuda;East Caribbean Dollar;2003;2163510000
Antigua and Barbuda;East Caribbean Dollar;2004;2303830000
Antigua and Barbuda;East Caribbean Dollar;2005;2579400000
Antigua and Barbuda;East Caribbean Dollar;2006;2938680000
Antigua and Barbuda;East Caribbean Dollar;2007;3338780000
Antigua and Barbuda;East Caribbean Dollar;2008;3472920000
Antigua and Barbuda;East Caribbean Dollar;2009;3120090000
Antigua and Barbuda;East Caribbean Dollar;2010;2980930000
Antigua and Barbuda;East Caribbean Dollar;2011;2944207930
Antigua and Barbuda;East Caribbean Dollar;2012;3114782742
Antigua and Barbuda;East Caribbean Dollar;2013;3117136292
Antigua and Barbuda;East Caribbean Dollar;2014;3283242040
Argentina;Argentine Peso;1970;1.37
Argentina;Argentine Peso;1971;2.05
Argentina;Argentine Peso;1972;3.3
Argentina;Argentine Peso;1973;5.78
Argentina;Argentine Peso;1974;7.92
Argentina;Argentine Peso;1975;23.51
Argentina;Argentine Peso;1976;123
Argentina;Argentine Peso;1977;337
Argentina;Argentine Peso;1978;844
Argentina;Argentine Peso;1979;2291
Argentina;Argentine Peso;1980;4556
Argentina;Argentine Peso;1981;8738
Argentina;Argentine Peso;1982;24586
Argentina;Argentine Peso;1983;123625
Argentina;Argentine Peso;1984;897710
Argentina;Argentine Peso;1985;6009350
Argentina;Argentine Peso;1986;11410984
Argentina;Argentine Peso;1987;26630816
Argentina;Argentine Peso;1988;127157117
Argentina;Argentine Peso;1989;3557950840
Argentina;Argentine Peso;1990;78879856011
Argentina;Argentine Peso;1991;2.09843E+11
Argentina;Argentine Peso;1992;2.66236E+11
Argentina;Argentine Peso;1993;2.8178E+11
Argentina;Argentine Peso;1994;3.062E+11
Argentina;Argentine Peso;1995;3.05737E+11
Argentina;Argentine Peso;1996;3.21768E+11
Argentina;Argentine Peso;1997;3.45895E+11
Argentina;Argentine Peso;1998;3.51809E+11
Argentina;Argentine Peso;1999;3.33125E+11
Argentina;Argentine Peso;2000;3.33845E+11
Argentina;Argentine Peso;2001;3.14917E+11
Argentina;Argentine Peso;2002;3.4997E+11
Argentina;Argentine Peso;2003;4.25764E+11
Argentina;Argentine Peso;2004;5.08699E+11
Argentina;Argentine Peso;2005;6.2604E+11
Argentina;Argentine Peso;2006;7.89816E+11
Argentina;Argentine Peso;2007;1.00894E+12
Argentina;Argentine Peso;2008;1.26013E+12
Argentina;Argentine Peso;2009;1.37827E+12
Argentina;Argentine Peso;2010;1.76667E+12
Argentina;Argentine Peso;2011;2.26073E+12
Argentina;Argentine Peso;2012;2.70771E+12
Argentina;Argentine Peso;2013;3.34644E+12
Argentina;Argentine Peso;2014;4.31175E+12
Armenia;Armenian Dram;1990;50500000
Armenia;Armenian Dram;1991;80000000
Armenia;Armenian Dram;1992;312500000
Armenia;Armenian Dram;1993;4264500000
Armenia;Armenian Dram;1994;1.87004E+11
Armenia;Armenian Dram;1995;5.21611E+11
Armenia;Armenian Dram;1996;6.62314E+11
Armenia;Armenian Dram;1997;8.05517E+11
Armenia;Armenian Dram;1998;9.48377E+11
Armenia;Armenian Dram;1999;9.78871E+11
Armenia;Armenian Dram;2000;1.01873E+12
Armenia;Armenian Dram;2001;1.1744E+12
Armenia;Armenian Dram;2002;1.35591E+12
Armenia;Armenian Dram;2003;1.60685E+12
Armenia;Armenian Dram;2004;1.96525E+12
Armenia;Armenian Dram;2005;2.30353E+12
Armenia;Armenian Dram;2006;2.74571E+12
Armenia;Armenian Dram;2007;3.24452E+12
Armenia;Armenian Dram;2008;3.7124E+12
Armenia;Armenian Dram;2009;3.20195E+12
Armenia;Armenian Dram;2010;3.58674E+12
Armenia;Armenian Dram;2011;3.98601E+12
Armenia;Armenian Dram;2012;4.25334E+12
Armenia;Armenian Dram;2013;4.58345E+12
Armenia;Armenian Dram;2014;4.75154E+12
Aruba;Aruban Guilder;1970;350505228
Aruba;Aruban Guilder;1971;369190016
Aruba;Aruban Guilder;1972;388870854
Aruba;Aruban Guilder;1973;409600843
Aruba;Aruban Guilder;1974;431435908
Aruba;Aruban Guilder;1975;454434961
Aruba;Aruban Guilder;1976;478660050
Aruba;Aruban Guilder;1977;504176534
Aruba;Aruban Guilder;1978;531053255
Aruba;Aruban Guilder;1979;559362724
Aruba;Aruban Guilder;1980;589181320
Aruba;Aruban Guilder;1981;620589490
Aruba;Aruban Guilder;1982;653671971
Aruba;Aruban Guilder;1983;688518018
Aruba;Aruban Guilder;1984;725221643
Aruba;Aruban Guilder;1985;763881870
Aruba;Aruban Guilder;1986;804603004
Aruba;Aruban Guilder;1987;967600000
Aruba;Aruban Guilder;1988;1161100032
Aruba;Aruban Guilder;1989;1312000000
Aruba;Aruban Guilder;1990;1548199936
Aruba;Aruban Guilder;1991;1703000064
Aruba;Aruban Guilder;1992;1839299968
Aruba;Aruban Guilder;1993;2004800000
Aruba;Aruban Guilder;1994;2204000000
Aruba;Aruban Guilder;1995;2239000000
Aruba;Aruban Guilder;1996;2330000000
Aruba;Aruban Guilder;1997;2587000000
Aruba;Aruban Guilder;1998;2845000000
Aruba;Aruban Guilder;1999;2930000000
Aruba;Aruban Guilder;2000;3170000000
Aruba;Aruban Guilder;2001;3174000000
Aruba;Aruban Guilder;2002;3277667019
Aruba;Aruban Guilder;2003;3413007915
Aruba;Aruban Guilder;2004;3753644380
Aruba;Aruban Guilder;2005;3919163926
Aruba;Aruban Guilder;2006;4071284019
Aruba;Aruban Guilder;2007;4404912275
Aruba;Aruban Guilder;2008;4621896017
Aruba;Aruban Guilder;2009;4204651624
Aruba;Aruban Guilder;2010;4021362752
Aruba;Aruban Guilder;2011;4289664841
Aruba;Aruban Guilder;2012;4263107257
Aruba;Aruban Guilder;2013;4351721701
Aruba;Aruban Guilder;2014;4481959733
Australia;Australian Dollar;1970;39890760565
Australia;Australian Dollar;1971;44315269678
Australia;Australian Dollar;1972;49806835615
Australia;Australian Dollar;1973;60094285790
Australia;Australian Dollar;1974;71333575670
Australia;Australian Dollar;1975;83260821873
Australia;Australian Dollar;1976;95430054930
Australia;Australian Dollar;1977;1.03686E+11
Australia;Australian Dollar;1978;1.17192E+11
Australia;Australian Dollar;1979;1.33082E+11
Australia;Australian Dollar;1980;1.51707E+11
Australia;Australian Dollar;1981;1.72339E+11
Australia;Australian Dollar;1982;1.87775E+11
Australia;Australian Dollar;1983;2.10928E+11
Australia;Australian Dollar;1984;2.31826E+11
Australia;Australian Dollar;1985;2.55594E+11
Australia;Australian Dollar;1986;2.80322E+11
Australia;Australian Dollar;1987;3.17136E+11
Australia;Australian Dollar;1988;3.56708E+11
Australia;Australian Dollar;1989;3.90088E+11
Australia;Australian Dollar;1990;3.98808E+11
Australia;Australian Dollar;1991;4.06945E+11
Australia;Australian Dollar;1992;4.32617E+11
Australia;Australian Dollar;1993;4.56582E+11
Australia;Australian Dollar;1994;4.78586E+11
Australia;Australian Dollar;1995;5.10588E+11
Australia;Australian Dollar;1996;5.38216E+11
Australia;Australian Dollar;1997;5.70453E+11
Australia;Australian Dollar;1998;6.01164E+11
Australia;Australian Dollar;1999;6.42044E+11
Australia;Australian Dollar;2000;6.85771E+11
Australia;Australian Dollar;2001;7.33355E+11
Australia;Australian Dollar;2002;7.78682E+11
Australia;Australian Dollar;2003;8.37397E+11
Australia;Australian Dollar;2004;8.88422E+11
Australia;Australian Dollar;2005;9.59498E+11
Australia;Australian Dollar;2006;1.03907E+12
Australia;Australian Dollar;2007;1.13083E+12
Australia;Australian Dollar;2008;1.21471E+12
Australia;Australian Dollar;2009;1.24595E+12
Australia;Australian Dollar;2010;1.35277E+12
Australia;Australian Dollar;2011;1.44363E+12
Australia;Australian Dollar;2012;1.4857E+12
Australia;Australian Dollar;2013;1.54494E+12
Australia;Australian Dollar;2014;1.58177E+12
Austria;Euro;1970;29074973539
Austria;Euro;1971;32481607731
Austria;Euro;1972;37078736547
Austria;Euro;1973;41996233609
Austria;Euro;1974;47867837075
Austria;Euro;1975;50737932214
Austria;Euro;1976;55963511556
Austria;Euro;1977;61812634431
Austria;Euro;1978;65340528761
Austria;Euro;1979;71699873472
Austria;Euro;1980;76954842686
Austria;Euro;1981;81823972445
Austria;Euro;1982;88068346785
Austria;Euro;1983;94040671339
Austria;Euro;1984;98650402871
Austria;Euro;1985;1.04136E+11
Austria;Euro;1986;1.09349E+11
Austria;Euro;1987;1.13554E+11
Austria;Euro;1988;1.19541E+11
Austria;Euro;1989;1.27998E+11
Austria;Euro;1990;1.37673E+11
Austria;Euro;1991;1.46819E+11
Austria;Euro;1992;1.55609E+11
Austria;Euro;1993;1.60789E+11
Austria;Euro;1994;1.68603E+11
Austria;Euro;1995;1.75292E+11
Austria;Euro;1996;1.82114E+11
Austria;Euro;1997;1.8764E+11
Austria;Euro;1998;1.94722E+11
Austria;Euro;1999;2.01566E+11
Austria;Euro;2000;2.11028E+11
Austria;Euro;2001;2.17185E+11
Austria;Euro;2002;2.25205E+11
Austria;Euro;2003;2.30557E+11
Austria;Euro;2004;2.41144E+11
Austria;Euro;2005;2.52214E+11
Austria;Euro;2006;2.67202E+11
Austria;Euro;2007;2.81791E+11
Austria;Euro;2008;2.94059E+11
Austria;Euro;2009;2.86116E+11
Austria;Euro;2010;2.97103E+11
Austria;Euro;2011;3.09676E+11
Austria;Euro;2012;3.17378E+11
Austria;Euro;2013;3.2381E+11
Austria;Euro;2014;3.27202E+11
Azerbaijan;Azerbaijanian Manat;1990;293200
Azerbaijan;Azerbaijanian Manat;1991;534400
Azerbaijan;Azerbaijanian Manat;1992;4820100
Azerbaijan;Azerbaijanian Manat;1993;31429000
Azerbaijan;Azerbaijanian Manat;1994;374884520
Azerbaijan;Azerbaijanian Manat;1995;2130360000
Azerbaijan;Azerbaijanian Manat;1996;2724700000
Azerbaijan;Azerbaijanian Manat;1997;3151000000
Azerbaijan;Azerbaijanian Manat;1998;3452300000
Azerbaijan;Azerbaijanian Manat;1999;3929000000
Azerbaijan;Azerbaijanian Manat;2000;4633500000
Azerbaijan;Azerbaijanian Manat;2001;5180800000
Azerbaijan;Azerbaijanian Manat;2002;5873900000
Azerbaijan;Azerbaijanian Manat;2003;6899200000
Azerbaijan;Azerbaijanian Manat;2004;8025500000
Azerbaijan;Azerbaijanian Manat;2005;11094200000
Azerbaijan;Azerbaijanian Manat;2006;16502000000
Azerbaijan;Azerbaijanian Manat;2007;24215700000
Azerbaijan;Azerbaijanian Manat;2008;36012500000
Azerbaijan;Azerbaijanian Manat;2009;32973500000
Azerbaijan;Azerbaijanian Manat;2010;39922200000
Azerbaijan;Azerbaijanian Manat;2011;48519100000
Azerbaijan;Azerbaijanian Manat;2012;51644700000
Azerbaijan;Azerbaijanian Manat;2013;55288400000
Azerbaijan;Azerbaijanian Manat;2014;57803151405
Bahamas;Bahamian Dollar;1970;510477731
Bahamas;Bahamian Dollar;1971;542590633
Bahamas;Bahamian Dollar;1972;559130434
Bahamas;Bahamian Dollar;1973;634848239
Bahamas;Bahamian Dollar;1974;662174527
Bahamas;Bahamian Dollar;1975;819788656
Bahamas;Bahamian Dollar;1976;896033880
Bahamas;Bahamian Dollar;1977;1073532763
Bahamas;Bahamian Dollar;1978;1200282825
Bahamas;Bahamian Dollar;1979;1431092369
Bahamas;Bahamian Dollar;1980;1447195360
Bahamas;Bahamian Dollar;1981;1652386509
Bahamas;Bahamian Dollar;1982;1691424064
Bahamas;Bahamian Dollar;1983;1647628807
Bahamas;Bahamian Dollar;1984;1767547296
Bahamas;Bahamian Dollar;1985;2065086661
Bahamas;Bahamian Dollar;1986;2339691462
Bahamas;Bahamian Dollar;1987;2621493812
Bahamas;Bahamian Dollar;1988;2963560388
Bahamas;Bahamian Dollar;1989;3456067942
Bahamas;Bahamian Dollar;1990;3543957911
Bahamas;Bahamian Dollar;1991;3487005211
Bahamas;Bahamian Dollar;1992;3571848327
Bahamas;Bahamian Dollar;1993;3498372313
Bahamas;Bahamian Dollar;1994;3680831888
Bahamas;Bahamian Dollar;1995;3882158510
Bahamas;Bahamian Dollar;1996;4421275578
Bahamas;Bahamian Dollar;1997;4790893912
Bahamas;Bahamian Dollar;1998;5331452375
Bahamas;Bahamian Dollar;1999;5931272115
Bahamas;Bahamian Dollar;2000;6216952330
Bahamas;Bahamian Dollar;2001;6388750725
Bahamas;Bahamian Dollar;2002;6823495688
Bahamas;Bahamian Dollar;2003;6853117324
Bahamas;Bahamian Dollar;2004;7016413009
Bahamas;Bahamian Dollar;2005;7576221927
Bahamas;Bahamian Dollar;2006;7840487963
Bahamas;Bahamian Dollar;2007;8172315000
Bahamas;Bahamian Dollar;2008;8187306356
Bahamas;Bahamian Dollar;2009;7680100471
Bahamas;Bahamian Dollar;2010;7702081399
Bahamas;Bahamian Dollar;2011;7701621560
Bahamas;Bahamian Dollar;2012;8017080333
Bahamas;Bahamian Dollar;2013;8138445093
Bahamas;Bahamian Dollar;2014;8134591030
Bahrain;Bahraini Dinar;1970;228751702
Bahrain;Bahraini Dinar;1971;245908080
Bahrain;Bahraini Dinar;1972;287369326
Bahrain;Bahraini Dinar;1973;373151214
Bahrain;Bahraini Dinar;1974;504683443
Bahrain;Bahraini Dinar;1975;533277406
Bahrain;Bahraini Dinar;1976;767623742
Bahrain;Bahraini Dinar;1977;965562701
Bahrain;Bahraini Dinar;1978;1079946031
Bahrain;Bahraini Dinar;1979;1268399543
Bahrain;Bahraini Dinar;1980;1615455307
Bahrain;Bahraini Dinar;1981;1873288660
Bahrain;Bahraini Dinar;1982;1937092967
Bahrain;Bahraini Dinar;1983;1952789699
Bahrain;Bahraini Dinar;1984;2050748932
Bahrain;Bahraini Dinar;1985;1836226932
Bahrain;Bahraini Dinar;1986;1496712438
Bahrain;Bahraini Dinar;1987;1518368114
Bahrain;Bahraini Dinar;1988;1573597356
Bahrain;Bahraini Dinar;1989;1711089098
Bahrain;Bahraini Dinar;1990;1813553875
Bahrain;Bahraini Dinar;1991;1874160700
Bahrain;Bahraini Dinar;1992;2067899065
Bahrain;Bahraini Dinar;1993;2164195411
Bahrain;Bahraini Dinar;1994;2319229890
Bahrain;Bahraini Dinar;1995;2529721142
Bahrain;Bahraini Dinar;1996;2644711351
Bahrain;Bahraini Dinar;1997;2661847244
Bahrain;Bahraini Dinar;1998;2570182524
Bahrain;Bahraini Dinar;1999;2749368108
Bahrain;Bahraini Dinar;2000;3323553010
Bahrain;Bahraini Dinar;2001;3254154119
Bahrain;Bahraini Dinar;2002;3409759424
Bahrain;Bahraini Dinar;2003;3978733125
Bahrain;Bahraini Dinar;2004;4728262746
Bahrain;Bahraini Dinar;2005;5848841279
Bahrain;Bahraini Dinar;2006;6812689236
Bahrain;Bahraini Dinar;2007;8058184675
Bahrain;Bahraini Dinar;2008;9319988777
Bahrain;Bahraini Dinar;2009;7722470847
Bahrain;Bahraini Dinar;2010;8775890882
Bahrain;Bahraini Dinar;2011;9505076113
Bahrain;Bahraini Dinar;2012;10121181076
Bahrain;Bahraini Dinar;2013;10757958259
Bahrain;Bahraini Dinar;2014;10597197931
